"method","seed","target","rmse_mu","pehe_tau","rmse_y","runtime_seconds"
"MVBCF",10,1,1.45580894337632,0.559747042270685,3.85795311444684,23.6494572162628
"MVBCF",10,2,1.38855992557872,0.272491173445443,3.9147485306674,23.6494572162628
"BCF-univariate",10,1,1.63494990562829,0.285460802490339,3.96456442190791,17.7663435935974
"BCF-univariate",10,2,1.7067524606809,0.164337558736743,4.0537013914495,12.7284059524536
"MVBCF",11,1,1.97014965778075,1.56094442281758,4.91682380355047,23.6421492099762
"MVBCF",11,2,1.77913742485532,0.816144220444166,4.48522383185915,23.6421492099762
"BCF-univariate",11,1,1.94746277826655,1.18651036690235,4.92096058411375,43.9617941379547
"BCF-univariate",11,2,1.9028958391797,1.03686020449301,4.57950545118188,-19.6614785194397
"MVBCF",12,1,1.90436809656461,0.829985345272552,4.42658292401079,23.6561925411224
"MVBCF",12,2,1.64347359800597,0.197223636760687,4.58071958067157,23.6561925411224
"BCF-univariate",12,1,1.99318065695932,1.02841565511493,4.51408402780128,18.2040328979492
"BCF-univariate",12,2,1.70322243287004,0.217893458465517,4.64497681646018,12.6459109783173
"MVBCF",13,1,1.64892864174595,0.450548509561158,3.88614397191879,22.2001802921295
"MVBCF",13,2,1.66003454879875,0.403889353112992,3.90762862931889,22.2001802921295
"BCF-univariate",13,1,1.76667796991528,0.753202787331653,3.93216170278759,17.8499753475189
"BCF-univariate",13,2,1.78084362532897,0.46493003452118,3.90871063650549,11.8755893707275
"MVBCF",14,1,1.79148873836958,0.357367163935797,4.55734495495293,22.3987095355988
"MVBCF",14,2,1.89393396127577,0.695078903636114,4.54466724402684,22.3987095355988
"BCF-univariate",14,1,1.91351665185379,0.582868025733966,4.62164809001098,17.335090637207
"BCF-univariate",14,2,1.99937424715878,0.752722335101533,4.58825495003801,11.6635463237762
"MVBCF",15,1,1.84014362915718,0.390303607117961,5.03510666744587,22.216490983963
"MVBCF",15,2,1.87571095025903,0.815211675149048,5.28447388110212,22.216490983963
"BCF-univariate",15,1,1.96662033009169,0.679611046015789,5.10385628491553,17.8114974498749
"BCF-univariate",15,2,1.94776983263598,0.888301746240689,5.31669284268826,12.0266144275665
"MVBCF",16,1,1.41365032428612,0.575395957523396,4.26413100823164,22.0283188819885
"MVBCF",16,2,1.55844654357797,0.589734391972837,4.70623411857687,22.0283188819885
"BCF-univariate",16,1,1.6697154058492,0.67908101225249,4.34893146441236,18.1393103599548
"BCF-univariate",16,2,1.63741230576214,0.751438465507441,4.72515013681885,12.169328212738
"MVBCF",17,1,1.61168230877634,0.260515298444909,4.48399615239861,22.8069949150085
"MVBCF",17,2,1.62440479673164,0.19657396909462,4.74937035687105,22.8069949150085
"BCF-univariate",17,1,1.93002333623866,0.345190339446441,4.56357040547322,10.9963531494141
"BCF-univariate",17,2,1.84127043062614,0.166122143484821,4.82935791554075,12.0789608955383
"MVBCF",18,1,1.6935237354219,0.437423675942417,4.26578168612807,22.1402978897095
"MVBCF",18,2,1.79934979615118,0.165281689378176,4.24312533164601,22.1402978897095
"BCF-univariate",18,1,1.79628779425127,0.734011461426726,4.32904929444157,18.3181245326996
"BCF-univariate",18,2,1.84915808142717,0.222633406685986,4.30780716683517,11.7644836902618
"MVBCF",19,1,1.65507541082917,0.23332783995974,4.08680530398932,20.6123645305634
"MVBCF",19,2,1.68375403623988,0.406805403830805,4.19220856099832,20.6123645305634
"BCF-univariate",19,1,1.87203343247225,1.01918469795721,4.10018691689087,16.3813359737396
"BCF-univariate",19,2,1.6923981044374,0.4370391968974,4.21513924282397,11.4313819408417
"MVBCF",20,1,1.55591091218681,0.21739705982705,3.9730816890435,21.215833902359
"MVBCF",20,2,1.2674698769164,0.328601251279952,4.12017475002429,21.215833902359
"BCF-univariate",20,1,1.92964924730454,0.336153127329548,4.05304507072652,15.9455180168152
"BCF-univariate",20,2,1.45839981563241,0.372543293883142,4.21918109867857,11.3305063247681
"MVBCF",21,1,1.78657160643021,0.454144286232697,5.05184553162467,20.4952847957611
"MVBCF",21,2,2.07502634204358,1.74017553338606,5.09979095105385,20.4952847957611
"BCF-univariate",21,1,1.92689176892023,0.652018502237871,5.12155863873093,12.4880802631378
"BCF-univariate",21,2,2.1829867131187,1.97031274990725,5.13031533721201,11.6724829673767
"MVBCF",22,1,1.95914133236125,0.232514212939739,4.89847523122078,20.0944800376892
"MVBCF",22,2,1.98472327867986,1.24646180085081,5.15273755483938,20.0944800376892
"BCF-univariate",22,1,1.93377839981061,0.191380290017554,4.83620194037399,16.967666387558
"BCF-univariate",22,2,1.95331641568089,1.14648468446856,5.10647279301817,11.584620475769
"MVBCF",23,1,1.79352240141683,0.777981524064926,5.03127662569128,20.7223508358002
"MVBCF",23,2,1.84820338874514,0.270232185735981,4.86314376846541,20.7223508358002
"BCF-univariate",23,1,1.96475106030595,0.67099603682187,5.11496750007068,9.60148239135742
"BCF-univariate",23,2,1.92920121283036,0.522422353443174,4.87258827827687,11.068745136261
"MVBCF",24,1,1.83796509161082,1.03833709394716,4.67982160298124,20.3281495571136
"MVBCF",24,2,1.73730150700306,0.416376150517234,4.44562313441689,20.3281495571136
"BCF-univariate",24,1,1.89925004260613,1.01881831967908,4.73555143175467,16.6558682918549
"BCF-univariate",24,2,1.87469804909154,0.608628996818928,4.46236666983325,11.3677973747253
"MVBCF",25,1,1.9393378532119,0.481239189755707,4.93836111116974,20.1049373149872
"MVBCF",25,2,1.91006134763922,0.483361973724619,4.74499426284337,20.1049373149872
"BCF-univariate",25,1,2.09888882409189,0.875870034434046,5.02965158771717,11.8654618263245
"BCF-univariate",25,2,2.01015071297857,0.354910113723426,4.79345598125258,11.1914775371552
"MVBCF",26,1,1.50350294382629,0.318566265303787,4.46279466850756,19.6464750766754
"MVBCF",26,2,1.80034291433342,0.532372592626251,4.74971056113027,19.6464750766754
"BCF-univariate",26,1,1.70560576111043,0.814857237810258,4.55145124658989,10.7961225509644
"BCF-univariate",26,2,2.04973405192931,0.61134430370002,4.8393578120144,18.0705761909485
"MVBCF",27,1,1.87234465250844,0.347748957370733,4.42001363853576,19.4551956653595
"MVBCF",27,2,1.55185995574477,0.18791582008302,4.17186035763559,19.4551956653595
"BCF-univariate",27,1,2.0388268160816,0.911829774490412,4.55302712107678,11.6226835250854
"BCF-univariate",27,2,1.55831984073304,0.128018713601987,4.20105132620042,12.2330887317657
"MVBCF",28,1,1.41540349011954,0.108485231569937,3.90143421486187,20.1728835105896
"MVBCF",28,2,1.45206779992977,0.826783330110853,3.61385712995882,20.1728835105896
"BCF-univariate",28,1,1.55097852696886,0.0844277513118583,3.98128971587784,12.125079870224
"BCF-univariate",28,2,1.50513096205165,0.94263164102271,3.67047661430129,11.1298804283142
"MVBCF",29,1,1.84114498622224,0.34937492661034,4.39463398535692,20.5188946723938
"MVBCF",29,2,1.82602492329365,0.561027537480687,4.53552949980036,20.5188946723938
"BCF-univariate",29,1,1.96262357459397,0.988659944012865,4.49533475875561,9.85522532463074
"BCF-univariate",29,2,1.9617155970628,0.332876971863348,4.65076525008297,10.7371361255646
"MVBCF",30,1,1.81807538102904,0.558665762551009,4.93840553688704,20.072108745575
"MVBCF",30,2,1.94126965789955,0.143323842322333,5.27312583930836,20.072108745575
"BCF-univariate",30,1,1.99738043149413,0.549460354724408,4.9806110179768,12.1798536777496
"BCF-univariate",30,2,2.16943080513086,0.144970235523398,5.34374671841065,11.1292815208435
