"method","seed","target","rmse_mu","pehe_tau","rmse_y","runtime_seconds","propensity_method"
"MVBCF",20,1,1.60723776809793,0.225959451423883,4.0154096218345,25.8846323490143,"bart"
"MVBCF",20,2,1.38228874382488,0.360547099292525,4.14861245745569,25.8846323490143,"bart"
"BCF-univariate",20,1,1.68762225584852,0.0839191232279561,3.94271662813014,44.6180267333984,"bart"
"BCF-univariate",20,2,1.44767755106698,0.575704321821497,4.19027121490067,-19.2548060417175,"bart"
"MVBCF",21,1,1.78994835177764,0.198139965797846,5.01204291159878,25.1829619407654,"bart"
"MVBCF",21,2,1.99742006684287,1.4655488972862,5.06848103407179,25.1829619407654,"bart"
"BCF-univariate",21,1,1.7862578371189,0.227338460840461,4.99628024172845,12.128514289856,"bart"
"BCF-univariate",21,2,2.0477780809115,1.49890310736031,5.06619056562411,12.8113718032837,"bart"
"MVBCF",22,1,1.87670694818174,0.584566744250017,4.89250754938322,25.0563213825226,"bart"
"MVBCF",22,2,1.93109475404988,0.546656081957007,5.1219822819919,25.0563213825226,"bart"
"BCF-univariate",22,1,1.91730027156604,0.476604481488523,4.86293224322201,12.6677904129028,"bart"
"BCF-univariate",22,2,2.03587186034425,0.576898513870461,5.12903691250765,11.8047034740448,"bart"
"MVBCF",23,1,1.70477403487141,0.539805679522083,5.0101707867875,24.6222841739655,"bart"
"MVBCF",23,2,1.6951738454447,0.190042632729758,4.84923030171198,24.6222841739655,"bart"
"BCF-univariate",23,1,1.71002459694038,0.45364662411681,5.01349901469909,11.4386165142059,"bart"
"BCF-univariate",23,2,1.83062980167344,0.333841059119719,4.89352564134204,12.9778335094452,"bart"
"MVBCF",24,1,1.77499298853402,0.722924916154087,4.71000350965465,26.3394358158112,"bart"
"MVBCF",24,2,1.83323424946304,0.239230149408202,4.49618636792489,26.3394358158112,"bart"
"BCF-univariate",24,1,1.92337916256646,0.583378089236724,4.77107429834931,13.9890067577362,"bart"
"BCF-univariate",24,2,1.93251755753977,0.319462488153575,4.54860916837086,15.584041595459,"bart"
"MVBCF",25,1,1.93462172910293,0.41397031346087,4.98249992751527,25.0562694072723,"bart"
"MVBCF",25,2,1.97563559708087,0.590860973457894,4.79249708163206,25.0562694072723,"bart"
"BCF-univariate",25,1,2.15462114385148,1.02988569306946,5.10184675333446,13.8364515304565,"bart"
"BCF-univariate",25,2,2.02449398609182,0.60208896726329,4.85108622104751,14.5775256156921,"bart"
"MVBCF",26,1,1.601955142007,0.233751262648195,4.48331999213444,25.0940549373627,"bart"
"MVBCF",26,2,1.82623029561528,0.292964215115369,4.76925831553432,25.0940549373627,"bart"
"BCF-univariate",26,1,1.72445516476126,0.258840333107883,4.48138369881564,13.2340841293335,"bart"
"BCF-univariate",26,2,1.83752937422158,0.466603204906242,4.70440980190933,13.8453361988068,"bart"
"MVBCF",27,1,1.70527763643949,0.284511661363625,4.29230957208797,24.9873621463776,"bart"
"MVBCF",27,2,1.49661391167871,0.24327575008389,4.16998337983535,24.9873621463776,"bart"
"BCF-univariate",27,1,1.82499534042966,0.592697028317555,4.42415754701137,20.0159635543823,"bart"
