suite,source,grid,dgp,n_train,method,metric,target_id,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_phase6,main,D5,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.0002594770758,0.000213915229,0.0003(0.0002)
abstract,merged_phase6,main,D5,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.05087111736,0.006424789999,0.0509(0.0064)
abstract,merged_original_drf,main,D5,1000,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.01490243764,0.004252314618,0.0149(0.0043)
abstract,merged_original_drf,main,D5,1000,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.0149992169,0.003357696023,0.0150(0.0034)
abstract,merged_original_drf,main,D5,1000,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,1.247675863e-17,2.741371287e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D5,1000,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02286875537,0.005712149238,0.0229(0.0057)
abstract,merged_original_drf,main,D5,1000,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.04092530296,0.004942372772,0.0409(0.0049)
abstract,merged_original_drf,main,D5,1000,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02419136477,0.004815239553,0.0242(0.0048)
abstract,merged_original_drf,main,D5,1000,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,1.769949909e-17,3.17914156e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D5,1000,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.05283931535,0.00615040401,0.0528(0.0062)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.0983975946,0.018066225,0.0984(0.0181)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.008353286984,0.00214738682,0.0084(0.0021)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,2.150447092e-17,6.348266267e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.09493505996,0.01841663013,0.0949(0.0184)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.1625724049,0.01758370748,0.1626(0.0176)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.01385846938,0.002440737747,0.0139(0.0024)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,3.587469187e-17,5.387721433e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.1615030471,0.01678475788,0.1615(0.0168)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.09694279861,0.02620314244,0.0969(0.0262)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.009645715872,0.001609704151,0.0096(0.0016)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,3.918705757e-17,1.663689759e-17,0.0000(0.0000)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.09597273684,0.02425826993,0.0960(0.0243)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.1829258812,0.03075615805,0.1829(0.0308)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02250121191,0.002096335076,0.0225(0.0021)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,9.929115321e-17,2.522087562e-17,0.0000(0.0000)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.1827250471,0.02897531384,0.1827(0.0290)
abstract,merged_original_drf,main,D6,1000,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.08809809566,0.0164011409,0.0881(0.0164)
abstract,merged_original_drf,main,D6,1000,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.008477737514,0.002068123785,0.0085(0.0021)
abstract,merged_original_drf,main,D6,1000,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,2.013367234e-17,6.433867295e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D6,1000,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.08763844168,0.01503331356,0.0876(0.0150)
abstract,merged_original_drf,main,D6,1000,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.1636820629,0.01138395563,0.1637(0.0114)
abstract,merged_original_drf,main,D6,1000,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.01242626014,0.002180679993,0.0124(0.0022)
abstract,merged_original_drf,main,D6,1000,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,3.041247408e-17,5.342759629e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D6,1000,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.1646695837,0.01007954326,0.1647(0.0101)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.02685665202,0.007361651963,0.0269(0.0074)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01182446896,0.00279783518,0.0118(0.0028)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.01298785927,0.003069872599,0.0130(0.0031)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.0313841472,0.007671623193,0.0314(0.0077)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.04227719704,0.005938237102,0.0423(0.0059)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.01796919401,0.002834665732,0.0180(0.0028)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.03839465576,0.001278158736,0.0384(0.0013)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.04552680236,0.006464834355,0.0455(0.0065)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.02229718571,0.003976215763,0.0223(0.0040)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.009468678867,0.001901763919,0.0095(0.0019)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.00650518665,0.001778112062,0.0065(0.0018)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02652889173,0.004177687704,0.0265(0.0042)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.05134613949,0.004792641483,0.0513(0.0048)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02911171191,0.003451451652,0.0291(0.0035)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.01432499923,0.00201874622,0.0143(0.0020)
abstract,merged_phase6,main,D7,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.05247993513,0.004998626357,0.0525(0.0050)
abstract,merged_original_drf,main,D7,1000,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.01915600797,0.004017798707,0.0192(0.0040)
abstract,merged_original_drf,main,D7,1000,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01160083585,0.002548308421,0.0116(0.0025)
abstract,merged_original_drf,main,D7,1000,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.01062070546,0.003264538197,0.0106(0.0033)
abstract,merged_original_drf,main,D7,1000,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.02119916356,0.005389545868,0.0212(0.0054)
abstract,merged_original_drf,main,D7,1000,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.03633951395,0.00577316268,0.0363(0.0058)
abstract,merged_original_drf,main,D7,1000,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.01695856269,0.002304267279,0.0170(0.0023)
abstract,merged_original_drf,main,D7,1000,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.04846526188,0.001478398937,0.0485(0.0015)
abstract,merged_original_drf,main,D7,1000,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.03961629676,0.005494990574,0.0396(0.0055)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.1238303324,0.01237689607,0.1238(0.0124)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.02035237675,0.003730958061,0.0204(0.0037)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,1.667400073e-17,3.573589663e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.1380348571,0.01435179946,0.1380(0.0144)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.1575646882,0.007642438362,0.1576(0.0076)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02838212531,0.003687343925,0.0284(0.0037)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,3.254489789e-17,4.06930761e-18,0.0000(0.0000)
abstract,merged_original_causal_drf,main,D8,1000,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.1696650761,0.009458709909,0.1697(0.0095)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.03496321246,0.007608900591,0.0350(0.0076)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.01609003735,0.004531942039,0.0161(0.0045)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,6.761142736e-17,1.425046983e-17,0.0000(0.0000)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.04244001419,0.009634067946,0.0424(0.0096)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.10003356,0.01470837551,0.1000(0.0147)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.05470815778,0.006391487206,0.0547(0.0064)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,1.215454569e-16,1.622155425e-17,0.0000(0.0000)
abstract,merged_phase6,main,D8,1000,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.1142010863,0.01575322811,0.1142(0.0158)
abstract,merged_original_drf,main,D8,1000,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.03401963585,0.0048305967,0.0340(0.0048)
abstract,merged_original_drf,main,D8,1000,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.02126462166,0.003062133159,0.0213(0.0031)
abstract,merged_original_drf,main,D8,1000,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,2.066149077e-17,3.381965026e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D8,1000,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.0476392643,0.006849989584,0.0476(0.0068)
abstract,merged_original_drf,main,D8,1000,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.08486146016,0.006514727228,0.0849(0.0065)
abstract,merged_original_drf,main,D8,1000,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.02582603343,0.003202626648,0.0258(0.0032)
abstract,merged_original_drf,main,D8,1000,drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,3.391672119e-17,4.47781497e-18,0.0000(0.0000)
abstract,merged_original_drf,main,D8,1000,drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.09306423644,0.007626679497,0.0931(0.0076)
income,merged_phase6,income,IC0,500,causal_drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.2258919615,0.01186691832,0.2259(0.0119)
income,merged_phase6,income,IC0,500,causal_drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.00766253099,0.001736733379,0.0077(0.0017)
income,merged_phase6,income,IC0,500,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.08327859117,0.003357652074,0.0833(0.0034)
income,merged_phase6,income,IC0,500,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.2317124349,0.01223428881,0.2317(0.0122)
income,merged_phase6,income,IC0,500,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.2260304363,0.01179764593,0.2260(0.0118)
income,merged_phase6,income,IC0,500,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.00846280297,0.001627937462,0.0085(0.0016)
income,merged_phase6,income,IC0,500,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.08327783387,0.003354643082,0.0833(0.0034)
income,merged_phase6,income,IC0,500,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.2318620341,0.01215880155,0.2319(0.0122)
income,merged_phase6,income,IC0,500,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.02159118783,0.00495454514,0.0216(0.0050)
income,merged_phase6,income,IC0,500,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.00882753788,0.002590653562,0.0088(0.0026)
income,merged_phase6,income,IC0,500,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.007268287953,0.001905852042,0.0073(0.0019)
income,merged_phase6,income,IC0,500,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.01938035457,0.005147426306,0.0194(0.0051)
income,merged_phase6,income,IC0,500,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.05013972901,0.006095509945,0.0501(0.0061)
income,merged_phase6,income,IC0,500,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.03184044438,0.00286590407,0.0318(0.0029)
income,merged_phase6,income,IC0,500,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,10,0,9,0.01765196371,0.001924702224,0.0177(0.0019)
income,merged_phase6,income,IC0,500,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,10,0,9,0.05380695941,0.005964528807,0.0538(0.0060)
income,merged_phase6,income,IC0,500,drf,tate_functional_rmse,TATE-K-grid_mean,10,0,9,0.2241346513,0.01057603054,0.2241(0.0106)
income,merged_phase6,income,IC0,500,drf,tate_functional_rmse,TATE-K-grid_sd,10,0,9,0.008352063488,0.001613067701,0.0084(0.0016)
income,merged_phase6,income,IC0,500,drf,tate_functional_rmse,TATE-K-grid_skewness,10,0,9,0.08061126022,0.003340996902,0.0806(0.0033)
income,merged_phase6,income,IC0,500,drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,10,0,9,0.229276304,0.01078409969,0.2293(0.0108)
income,merged_phase6,income,IC0,500,drf,tcate_functional_rmse,TCATE-K-grid_mean,10,0,9,0.2241628257,0.01054680823,0.2242(0.0105)
income,merged_phase6,income,IC0,500,drf,tcate_functional_rmse,TCATE-K-grid_sd,10,0,9,0.008408843845,0.001595440628,0.0084(0.0016)
