suite,source,grid,dgp,n_train,method,metric,target_aggregation,n_seeds,seed_min,seed_max,mean,se,mean_se
abstract,merged_original_causal_drf,main,D6,1000,causal_drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.08448348034,0.008404533623,0.0845(0.0084)
abstract,merged_phase6,main,D6,1000,cwdb_dr,kernel_law_error,mean over two arms within seed,10,0,9,0.01779633145,0.0007646420743,0.0178(0.0008)
abstract,merged_phase6,main,D6,1000,cwdb_dr,mean_quantile_rmse,single reported value within seed,10,0,9,0.2188602328,0.01780942718,0.2189(0.0178)
abstract,merged_phase6,main,D6,1000,cwdb_dr,reference_effect_rmse,single reported value within seed,10,0,9,0.01913737644,0.006314694895,0.0191(0.0063)
abstract,merged_phase6,main,D6,1000,cwdb_dr,reference_tcate_rmse,single reported value within seed,10,0,9,0.08618511558,0.009395683463,0.0862(0.0094)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.05064031283,0.01272281445,0.0506(0.0127)
abstract,merged_phase6,main,D6,1000,cwdb_dr,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.09703803506,0.01470434142,0.0970(0.0147)
abstract,merged_original_drf,main,D6,1000,drf,kernel_law_error,mean over two arms within seed,10,0,9,0.005882976073,0.0003345578515,0.0059(0.0003)
abstract,merged_original_drf,main,D6,1000,drf,mean_quantile_rmse,single reported value within seed,10,0,9,0.1985702287,0.009895313228,0.1986(0.0099)
abstract,merged_original_drf,main,D6,1000,drf,reference_effect_rmse,single reported value within seed,10,0,9,0.0219966213,0.006014774537,0.0220(0.0060)
abstract,merged_original_drf,main,D6,1000,drf,reference_tcate_rmse,single reported value within seed,10,0,9,0.0500643745,0.006774216825,0.0501(0.0068)
abstract,merged_original_drf,main,D6,1000,drf,tate_functional_rmse,mean over four functionals within seed,10,0,9,0.04605356871,0.007705569769,0.0461(0.0077)
abstract,merged_original_drf,main,D6,1000,drf,tcate_functional_rmse,mean over four functionals within seed,10,0,9,0.08519447668,0.005171738538,0.0852(0.0052)
abstract,merged_original_causal_drf,main,D7,1000,causal_drf,kernel_law_error,mean over two arms within seed,10,0,9,0.01286300589,0.0003012289711,0.0129(0.0003)
