paper_dgp,dgp,metric,target_id,detail,arm,method_left,method_right,rmse_difference,paired_mc_se,ci95_low,ci95_high,n_pairs
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_mean,plugin functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.1077164514116481,0.023983638799555493,0.06070851936451933,0.15472438345877687,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_mean,plugin functional contrast; marginal absolute error,,causal_drf,drf,-0.015656472504073482,0.007041651632418152,-0.02945810970361306,-0.0018548353045339042,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_mean,plugin functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.12337292391572158,0.02450605316150055,-0.17140478811226265,-0.07534105971918051,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_sd,plugin functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.03372991471313052,0.005276752457717812,0.023387479896003607,0.04407234953025743,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_sd,plugin functional contrast; marginal absolute error,,causal_drf,drf,-0.003507881203288918,0.0016955334630195575,-0.006831126790807251,-0.00018463561577058496,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_sd,plugin functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.03723779591641944,0.005356318634679625,-0.047736180440391504,-0.02673941139244737,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_skewness,plugin functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.04471163133465569,0.005614552701234787,0.0337071080402355,0.05571615462907587,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_skewness,plugin functional contrast; marginal absolute error,,causal_drf,drf,-0.0042276908788310835,0.002129630528803303,-0.008401766715285558,-5.361504237660908e-05,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_skewness,plugin functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.04893932221348677,0.005653468729676866,-0.06002012092365343,-0.03785852350332011,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_upper_tail_mean,plugin functional contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.13021672317831773,0.027628680524487415,0.0760645093503224,0.18436893700631307,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_upper_tail_mean,plugin functional contrast; marginal absolute error,,causal_drf,drf,-0.01811193148785034,0.00819014111961891,-0.034164608082303406,-0.0020592548933972762,50
Z2,ZI2,plugin_tate_abs_error,TATE-K-grid_upper_tail_mean,plugin functional contrast; marginal absolute error,,cwdb_zipt,drf,-0.14832865466616807,0.028191338629176426,-0.20358367837935387,-0.09307363095298227,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.06192298785344122,0.022232545069598073,0.018347199517028998,0.10549877618985344,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.02330113314526766,0.007407108809381553,-0.03781906641165551,-0.008783199878879816,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.08522412099870888,0.02209576695412799,-0.12853182422879975,-0.04191641776861802,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_sd,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.02309422554912669,0.005201264084245688,0.012899747944005143,0.03328870315424824,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_sd,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.006707810775589046,0.0018027500266473582,-0.010241200827817869,-0.003174420723360224,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_sd,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.029802036324715737,0.005096810698851693,-0.03979178529446506,-0.01981228735496642,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_skewness,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.034819385614089114,0.005497647127860374,0.02404399724348278,0.04559477398469545,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_skewness,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.007845398250341848,0.002135684489648434,-0.012031339850052778,-0.0036594566506309174,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_skewness,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.04266478386443096,0.005440544988969186,-0.05332825204281057,-0.03200131568605136,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_upper_tail_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,cwdb_zipt,0.07739948812215003,0.025827140946965713,0.02677829186609723,0.12802068437820283,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_upper_tail_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,causal_drf,drf,-0.02767061280690053,0.008629539789078778,-0.04458451079349493,-0.010756714820306126,50
Z2,ZI2,plugin_tcate_rmse,TCATE-K-grid_upper_tail_mean,"plugin functional contrast; RMSE over four strata of X2 with edges (-0.5, 0.0, 0.5)",,cwdb_zipt,drf,-0.10507010092905056,0.025595077061400746,-0.155236451969396,-0.0549037498887051,50
Z3,ZI3,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,causal_drf,cwdb_zipt,0.028248719857450325,0.008705443517261645,0.0111860505636175,0.045311389151283146,50
Z3,ZI3,aipw_reference_tate_abs_error,REF-ATE-K,aipw reference contrast; marginal absolute error,,causal_drf,drf,-0.06319508407935924,0.005840625010861668,-0.0746427091006481,-0.05174745905807037,50
