dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds
IC1,1000,49,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.006375474810141913,0.0018742102693875174,10
IC1,1000,49,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.005612539074598466,0.0014142073047085776,10
IC1,1000,49,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.006502975863345401,0.0013972207535838952,10
IC1,1000,5,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.017850484023966596,0.004013311392757799,10
IC1,1000,5,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.017101844345894138,0.002644631870803994,10
IC1,1000,5,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.012588668640804934,0.0032073556651330357,10
IC1,1000,25,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01770596632010598,0.002555937080275355,10
IC1,1000,25,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01916717545129136,0.002892848478485955,10
IC1,1000,25,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01779207534890813,0.0033282194410587914,10
IC1,1000,49,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.014844851361921107,0.00311865860269988,10
IC1,1000,49,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.014863899059181904,0.00344388215842157,10
IC1,1000,49,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.013857862935445017,0.003741822562349764,10
IC1,1000,5,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.034104077469550145,0.005681545045432801,10
IC1,1000,5,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.033248659638786406,0.003658379193980872,10
IC1,1000,5,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.0319889601680237,0.0028282439089766984,10
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03551320240687308,0.003945329147851288,10
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.034841354883703386,0.00391436537006207,10
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03177707668518367,0.004417209297437051,10
IC1,1000,49,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.030221330917627402,0.0035234602366795214,10
IC1,1000,49,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.029513313258788122,0.003993705398156569,10
IC1,1000,49,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03304082111460423,0.004045757781270156,10
IC1,1000,5,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.01977307463130789,0.0016542757857866807,10
IC1,1000,5,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.019511751239393645,0.0021530957474071378,10
IC1,1000,5,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.01727378666139404,0.0018815995110842813,10
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.019087279163691843,0.0021421233710127332,10
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02117887451681896,0.0025179941704433556,10
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02057220363573093,0.002150504375388779,10
IC1,1000,49,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.022715494978115328,0.0022278693130687683,10
IC1,1000,49,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02294657016275699,0.0025287222934437473,10
IC1,1000,49,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.021280246901147347,0.002803293920971855,10
IC1,1000,5,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.006489654033149783,0.0007966610281316056,10
IC1,1000,5,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.008568796050173452,0.0009649702238727242,10
IC1,1000,5,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.0059182545245341275,0.0005376993940175044,10
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.014247711625467818,0.0023203781237238624,10
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.009865285086822419,0.001028089195334101,10
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.010698927874776235,0.001258375921108618,10
IC1,1000,49,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.015017851706632035,0.0017168491781680507,10
IC1,1000,49,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.012310704398753026,0.0015615883329067348,10
IC1,1000,49,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.013203158230896106,0.0014963514711719666,10
IC1,1000,5,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03804443310963673,0.005886136417646522,10
IC1,1000,5,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.036946197012938754,0.003035535716689928,10
IC1,1000,5,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.034544001347228,0.0033851946985050253,10
IC1,1000,25,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03956165868754676,0.003388519678916867,10
IC1,1000,25,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.038157084380445114,0.003979836173543192,10
IC1,1000,25,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03640880112010335,0.00440796327340397,10
IC1,1000,49,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03763327986113767,0.0025897924323441523,10
IC1,1000,49,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03555948070397657,0.004225752154617598,10
IC1,1000,49,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03794567542603404,0.004133013990122069,10
IC3,1000,5,5,kernel_law_error,LAW-A-K,,0.02060205114128934,0.0004932121389809996,10
IC3,1000,5,10,kernel_law_error,LAW-A-K,,0.020361540833644526,0.0007213109617539369,10
IC3,1000,5,25,kernel_law_error,LAW-A-K,,0.020799172163916857,0.0007413537923398447,10
IC3,1000,25,5,kernel_law_error,LAW-A-K,,0.01801951431351551,0.0005688801340916369,10
IC3,1000,25,10,kernel_law_error,LAW-A-K,,0.01878640647932004,0.0006810193929870029,10
IC3,1000,25,25,kernel_law_error,LAW-A-K,,0.019257063076363316,0.0009365897176599567,10
IC3,1000,49,5,kernel_law_error,LAW-A-K,,0.018045000849715685,0.0006826287558426246,10
IC3,1000,49,10,kernel_law_error,LAW-A-K,,0.01878133401236646,0.0007326934074893938,10
IC3,1000,49,25,kernel_law_error,LAW-A-K,,0.018672090190528425,0.0006518774142726052,10
IC3,1000,5,5,mean_quantile_rmse,MEANQ-A-K,,0.11949316557105187,0.006870139542427801,10
IC3,1000,5,10,mean_quantile_rmse,MEANQ-A-K,,0.11874531490204898,0.003792662685878781,10
IC3,1000,5,25,mean_quantile_rmse,MEANQ-A-K,,0.12340897080271782,0.006244430924925873,10
IC3,1000,25,5,mean_quantile_rmse,MEANQ-A-K,,0.11034545320880892,0.0042732402833684496,10
IC3,1000,25,10,mean_quantile_rmse,MEANQ-A-K,,0.11831614614052617,0.005502396210271046,10
IC3,1000,25,25,mean_quantile_rmse,MEANQ-A-K,,0.12588482438358645,0.00828895565815373,10
IC3,1000,49,5,mean_quantile_rmse,MEANQ-A-K,,0.1147799482964138,0.006579677077439437,10
IC3,1000,49,10,mean_quantile_rmse,MEANQ-A-K,,0.12096129872448387,0.007409282644075787,10
IC3,1000,49,25,mean_quantile_rmse,MEANQ-A-K,,0.12330907950714234,0.006175446661659264,10
IC3,1000,5,5,reference_effect_rmse,REF-ATE-K,,0.016646169893309568,0.0033250902941843494,10
IC3,1000,5,10,reference_effect_rmse,REF-ATE-K,,0.016082348364286,0.004332265421191496,10
IC3,1000,5,25,reference_effect_rmse,REF-ATE-K,,0.012252283235384461,0.004199939373982531,10
IC3,1000,25,5,reference_effect_rmse,REF-ATE-K,,0.016135743513628766,0.00416598161410709,10
IC3,1000,25,10,reference_effect_rmse,REF-ATE-K,,0.01816198544360067,0.003945032441411493,10
IC3,1000,25,25,reference_effect_rmse,REF-ATE-K,,0.016701359090672233,0.0029265727447145176,10
IC3,1000,49,5,reference_effect_rmse,REF-ATE-K,,0.01634570203602736,0.003503355005776419,10
IC3,1000,49,10,reference_effect_rmse,REF-ATE-K,,0.018736005927081162,0.004380441504468926,10
IC3,1000,49,25,reference_effect_rmse,REF-ATE-K,,0.016465610615297978,0.0036623497751256846,10
IC3,1000,5,5,reference_tcate_rmse,REF-TCATE-K,,0.0490813559167657,0.005913821095664755,10
IC3,1000,5,10,reference_tcate_rmse,REF-TCATE-K,,0.05312211142155965,0.005872531051413791,10
IC3,1000,5,25,reference_tcate_rmse,REF-TCATE-K,,0.044308994718855126,0.007089674178723392,10
IC3,1000,25,5,reference_tcate_rmse,REF-TCATE-K,,0.04625532636329866,0.006380734761239964,10
IC3,1000,25,10,reference_tcate_rmse,REF-TCATE-K,,0.04736192997244222,0.006127420662122925,10
IC3,1000,25,25,reference_tcate_rmse,REF-TCATE-K,,0.04872993627622975,0.006624763559670615,10
IC3,1000,49,5,reference_tcate_rmse,REF-TCATE-K,,0.04224664182997549,0.005357834195421567,10
IC3,1000,49,10,reference_tcate_rmse,REF-TCATE-K,,0.05119979140810067,0.005514404960920607,10
IC3,1000,49,25,reference_tcate_rmse,REF-TCATE-K,,0.048960437682796586,0.006000591626925282,10
IC3,1000,5,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.02331130838777334,0.0031088483312997697,10
IC3,1000,5,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.02278647185726595,0.003856477544135496,10
IC3,1000,5,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.018728136940953218,0.003541107613639851,10
IC3,1000,25,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.02429440562058521,0.004262923021649443,10
IC3,1000,25,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.025994760113961218,0.0036894247969364974,10
IC3,1000,25,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.024389890651278653,0.003860133104241288,10
IC3,1000,49,5,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.022537673555658368,0.004239272327330991,10
IC3,1000,49,10,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.0215643903860595,0.00521955776072862,10
IC3,1000,49,25,tate_functional_rmse,TATE-K-grid_mean,grid_mean,0.023737343840150978,0.0037530907584318153,10
IC3,1000,5,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.008813933356850472,0.002737276393306814,10
IC3,1000,5,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.011149156594899018,0.0028415026353395974,10
IC3,1000,5,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.009808058459390362,0.002815306841163418,10
IC3,1000,25,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.010954727759051245,0.0030197395400937597,10
IC3,1000,25,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.014627415616029357,0.002692447107942709,10
IC3,1000,25,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.014590129586706491,0.004235179732743089,10
IC3,1000,49,5,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.01256575815523991,0.003327816378668857,10
IC3,1000,49,10,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.012132730753097723,0.003134040323604585,10
IC3,1000,49,25,tate_functional_rmse,TATE-K-grid_sd,grid_sd,0.009721964866020012,0.002211332775942247,10
IC3,1000,5,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.0072542893679041435,0.0012066290776673151,10
IC3,1000,5,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.00647146447412095,0.0008506684093736484,10
IC3,1000,5,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.005961400177671492,0.0015212455183409282,10
IC3,1000,25,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.012639656683440132,0.0027035302447243324,10
IC3,1000,25,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.014557310729031164,0.0021692377699086777,10
IC3,1000,25,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.010902088497165568,0.0023458938796779194,10
IC3,1000,49,5,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.013505522903333511,0.0023553346506803748,10
IC3,1000,49,10,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.010192877851066822,0.002495546877939628,10
IC3,1000,49,25,tate_functional_rmse,TATE-K-grid_skewness,grid_skewness,0.018678414988777307,0.0040004449210716535,10
IC3,1000,5,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.025002160429201885,0.004642820835315562,10
IC3,1000,5,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.026576370758691147,0.004964589289983764,10
IC3,1000,5,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.022345508976570512,0.004949357760241787,10
IC3,1000,25,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.02721990700047261,0.0058178868927069695,10
IC3,1000,25,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.0265063184410567,0.005761506104173695,10
IC3,1000,25,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.03092151511342737,0.006324465734158313,10
IC3,1000,49,5,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.02525094144969105,0.006052175589537003,10
IC3,1000,49,10,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.02516862134124026,0.006228559052670907,10
IC3,1000,49,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.02593252985056904,0.0050717911674407305,10
IC3,1000,5,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.05524865023414595,0.005159848550493663,10
IC3,1000,5,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.059347261671594896,0.006272115040783009,10
IC3,1000,5,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.054526280607028854,0.0069593345702024115,10
IC3,1000,25,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.05466876443190144,0.0055746229955528515,10
IC3,1000,25,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.055557541501697005,0.00672676963511696,10
IC3,1000,25,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.058071835546627204,0.005153575211558851,10
IC3,1000,49,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.050508864925567776,0.005563790077118012,10
IC3,1000,49,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.05426205618039376,0.0052253316921778625,10
IC3,1000,49,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.05751964385618631,0.006832237206935163,10
IC3,1000,5,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.027248455534611388,0.002203550157398193,10
IC3,1000,5,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.0257412657833767,0.0029851048292852695,10
IC3,1000,5,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.030154187615144677,0.002263124879192081,10
IC3,1000,25,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.03218164148212416,0.00319708280121966,10
IC3,1000,25,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.03128476727116834,0.002031997417540111,10
IC3,1000,25,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.032379773681598036,0.0041814484895637384,10
IC3,1000,49,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.031409710544317744,0.0034397640266076897,10
IC3,1000,49,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.03515413782852707,0.0038490623377208473,10
IC3,1000,49,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.03212169578072933,0.003164483591397907,10
IC3,1000,5,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.01443785978638853,0.001795742041880517,10
IC3,1000,5,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.012552408165618154,0.001163267317802488,10
IC3,1000,5,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.012033519275592328,0.00157659921597293,10
IC3,1000,25,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.022381646223246055,0.001938194174308976,10
IC3,1000,25,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.02391984931815668,0.0024807927561087463,10
IC3,1000,25,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.018751490422398886,0.002318671098386685,10
IC3,1000,49,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.023081231543954424,0.0017064367566395273,10
IC3,1000,49,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.022119198833952865,0.0018415505520590616,10
IC3,1000,49,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.029156796146114848,0.0030769146757412824,10
IC3,1000,5,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05468713659675702,0.005441884091502792,10
IC3,1000,5,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05807661389563244,0.006197038810308042,10
IC3,1000,5,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05764346838697234,0.007400738253745893,10
IC3,1000,25,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05556138731932057,0.006476536166459414,10
IC3,1000,25,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.057316538408283976,0.006661305819941556,10
IC3,1000,25,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.06074989265055236,0.003916084475967092,10
IC3,1000,49,5,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.0525874756522817,0.006771292479972179,10
IC3,1000,49,10,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05467271826188401,0.004641955912340781,10
IC3,1000,49,25,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.05799127784298952,0.007187557496022434,10
