dgp,n_train,n_grid,n_particles,method,comparator,metric,target_id,n_seeds,mean,mc_se,comparator_mean,paired_delta,paired_mc_se,n_pairs
SYM-NL,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.041656364175153476,0.0058493530802434315,,,,0
SYM-NL,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.017633342444770113,0.0047044228929711135,,,,0
SYM-NL,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.021998632074992107,0.0008160869146068772,,,,0
SYM-NL,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,0.007847595250929549,,,,0
SYM-NL,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04146431093787309,0.00588268344013746,,,,0
SYM-NL,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.07364319258183331,0.006612374118407046,,,,0
SYM-NL,1000,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.03035778559252437,0.007053366940596179,,,,0
SYM-NL,1000,25,10,drf,,kernel_law_error,LAW-A-K,10,0.06305818297561007,0.00112707627655997,,,,0
SYM-NL,1000,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.22281505760787942,0.0048774076967534495,,,,0
SYM-NL,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.07346394625826633,0.006585895987682215,,,,0
SYM-RANDOM,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.04223417775682562,0.004455682871608814,,,,0
SYM-RANDOM,500,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.01677526183302503,0.0035975825473341097,,,,0
SYM-RANDOM,500,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.05840002649276492,0.0012911537086526918,,,,0
SYM-RANDOM,500,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.10162307209421924,0.003308899797399536,,,,0
SYM-RANDOM,500,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04214828941379377,0.0044407555831217005,,,,0
SYM-RANDOM,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.04442763699415645,0.003968975653774432,,,,0
SYM-RANDOM,500,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.015715847394025078,0.0025050142045493435,,,,0
SYM-RANDOM,500,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.02889968663963196,0.0012370739939009162,,,,0
SYM-RANDOM,500,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.13235027635732344,0.006498069344481194,,,,0
SYM-RANDOM,500,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.044087438402405116,0.00398536634559764,,,,0
SYM-RANDOM,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.041709883521391725,0.004278767878840932,,,,0
SYM-RANDOM,500,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.016925252023266512,0.0029479152376436315,,,,0
SYM-RANDOM,500,25,10,drf,,kernel_law_error,LAW-A-K,10,0.06545763609948384,0.0017821819050873639,,,,0
SYM-RANDOM,500,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.12076663441466558,0.003424622611558047,,,,0
SYM-RANDOM,500,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04160701729062522,0.004275345650696021,,,,0
SYM-RANDOM,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-K,10,0.03127603747203881,0.0031510637967993313,,,,0
SYM-RANDOM,1000,25,10,causal_drf,,reference_effect_rmse,REF-ATE-K,10,0.010913058853361312,0.0023131285166447554,,,,0
SYM-RANDOM,1000,25,10,causal_drf,,kernel_law_error,LAW-A-K,10,0.048143642433458145,0.0011550788632933358,,,,0
SYM-RANDOM,1000,25,10,causal_drf,,mean_quantile_rmse,MEANQ-A-K,10,0.08250754092716847,0.001937940665806561,,,,0
SYM-RANDOM,1000,25,10,causal_drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.03119723445421201,0.0031315875292302203,,,,0
SYM-RANDOM,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-K,10,0.02859516809102648,0.0028176343397353213,,,,0
SYM-RANDOM,1000,25,10,cwdb_dr,,reference_effect_rmse,REF-ATE-K,10,0.010182039724058857,0.0012208166069255916,,,,0
SYM-RANDOM,1000,25,10,cwdb_dr,,kernel_law_error,LAW-A-K,10,0.023273550072227967,0.0010625351694552418,,,,0
SYM-RANDOM,1000,25,10,cwdb_dr,,mean_quantile_rmse,MEANQ-A-K,10,0.11786104477186403,0.004487504635242,,,,0
SYM-RANDOM,1000,25,10,cwdb_dr,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.02847956705910844,0.0027922887619026343,,,,0
SYM-RANDOM,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-K,10,0.02753961021673827,0.0037464542100077245,,,,0
SYM-RANDOM,1000,25,10,drf,,reference_effect_rmse,REF-ATE-K,10,0.009886984723869336,0.0023448641411354778,,,,0
SYM-RANDOM,1000,25,10,drf,,kernel_law_error,LAW-A-K,10,0.04965422904734981,0.0010850376591701042,,,,0
SYM-RANDOM,1000,25,10,drf,,mean_quantile_rmse,MEANQ-A-K,10,0.10584864675559527,0.0019264466182466124,,,,0
SYM-RANDOM,1000,25,10,drf,,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.027462588888390888,0.003727037864157995,,,,0
SYM-LIN,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.045173216880137444,,0.05478106085613391,-0.009607843975996464,0.007528192183742841,10
SYM-LIN,500,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.011435507020410011,,0.025934060333536412,-0.0144985533131264,0.005674650008688465,10
SYM-LIN,500,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.03048650188702917,,0.059154311332291744,-0.028667809445262572,0.0018251155590480522,10
SYM-LIN,500,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.13788570048610366,,0.1275621042037876,0.010323596282316015,0.010385862369821797,10
SYM-LIN,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.045150958539107305,,0.05467027002108491,-0.009519311481977596,0.00756924038995898,10
SYM-LIN,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.034988045969588176,,0.03923257454504924,-0.0042445285754610625,0.0024298211367244056,10
SYM-LIN,1000,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.01590877751014055,,0.016087130642011338,-0.00017835313187077978,0.0035201736689481713,10
SYM-LIN,1000,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.023039429744346,,0.04584688534991095,-0.022807455605564953,0.0016422590282279437,10
SYM-LIN,1000,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.11807793096946177,,0.1005258614667824,0.017552069502679363,0.0057411861272240955,10
SYM-LIN,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.03492420152858437,,0.03920105053997826,-0.004276849011393883,0.0023740403824406412,10
SYM-MU,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,,0.05708620541868742,-0.010939515549955934,0.005395374811657528,10
SYM-MU,500,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,,0.04165422242800314,-0.019358969286029287,0.007903076627016479,10
SYM-MU,500,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.02732646504254609,,0.06053071020828843,-0.033204245165742344,0.0023116454096182197,10
SYM-MU,500,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.1286768278304405,,0.18330271003481013,-0.05462588220436965,0.009645637497638885,10
SYM-MU,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04596207147274682,,0.05687739138975354,-0.010915319917006727,0.005301407022326745,10
SYM-MU,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.0286986354944959,,0.046066230163647755,-0.017367594669151852,0.003146357846413216,10
SYM-MU,1000,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.011472116925584499,,0.02171812068898818,-0.01024600376340368,0.0027165250258582184,10
SYM-MU,1000,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.02363687322588149,,0.048223522389660156,-0.024586649163778663,0.0013583358236095037,10
SYM-MU,1000,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.11222213791673293,,0.1499557193313621,-0.03773358141462919,0.007818465089832671,10
SYM-MU,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.028564441264883028,,0.04602028724372372,-0.017455845978840694,0.0031132158005957016,10
SYM-NL,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.05969963521687353,,0.08889840829236763,-0.029198773075494105,0.00869152313575898,10
SYM-NL,500,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.021182066827837583,,0.05512194841675806,-0.033939881588920466,0.008116671238758965,10
SYM-NL,500,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.029028240854596498,,0.06711154846611832,-0.038083307611521816,0.0017266939422226173,10
SYM-NL,500,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.1321790104706922,,0.25885869031758435,-0.12667967984689216,0.011864542724068639,10
SYM-NL,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.05943598244872801,,0.08871280093600367,-0.029276818487275667,0.008651440026051907,10
SYM-NL,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.041656364175153476,,0.08135784159863987,-0.039701477423486405,0.004496366537453443,10
SYM-NL,1000,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.017633342444770113,,0.03956590141936661,-0.021932558974596495,0.006425276021053615,10
SYM-NL,1000,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.021998632074992107,,0.05342612125435074,-0.03142748917935863,0.0013040175226235948,10
SYM-NL,1000,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.10712225604274224,,0.2213896204545313,-0.11426736441178909,0.007661740779018263,10
SYM-NL,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04146431093787309,,0.08115953370782125,-0.039695222769948156,0.00447955546280655,10
SYM-RANDOM,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.04442763699415645,,0.04223417775682562,0.0021934592373308273,0.0061291260255093225,10
SYM-RANDOM,500,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.015715847394025078,,0.01677526183302503,-0.0010594144389999515,0.0035748236323550064,10
SYM-RANDOM,500,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.02889968663963196,,0.05840002649276492,-0.02950033985313296,0.0015592246958943134,10
SYM-RANDOM,500,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.13235027635732344,,0.10162307209421924,0.030727204263104192,0.0053749476357995585,10
SYM-RANDOM,500,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.04408743840240511,,0.04214828941379377,0.0019391489886113444,0.006142006803189139,10
SYM-RANDOM,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-K,10,0.02859516809102648,,0.03127603747203881,-0.0026808693810123265,0.003997919667686852,10
SYM-RANDOM,1000,25,10,cwdb_dr,causal_drf,reference_effect_rmse,REF-ATE-K,10,0.010182039724058857,,0.010913058853361312,-0.0007310191293024548,0.0018783711350533697,10
SYM-RANDOM,1000,25,10,cwdb_dr,causal_drf,kernel_law_error,LAW-A-K,10,0.023273550072227967,,0.048143642433458145,-0.024870092361230178,0.001254001742366772,10
SYM-RANDOM,1000,25,10,cwdb_dr,causal_drf,mean_quantile_rmse,MEANQ-A-K,10,0.11786104477186402,,0.08250754092716847,0.03535350384469555,0.004001263376642402,10
SYM-RANDOM,1000,25,10,cwdb_dr,causal_drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.02847956705910844,,0.031197234454212013,-0.0027176673951035684,0.003947858724390029,10
SYM-LIN,500,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-K,10,0.045173216880137444,,0.04275554282721304,0.002417674052924401,0.007258211149994493,10
SYM-LIN,500,25,10,cwdb_dr,drf,reference_effect_rmse,REF-ATE-K,10,0.011435507020410011,,0.02062283266414625,-0.00918732564373624,0.004362323737050789,10
SYM-LIN,500,25,10,cwdb_dr,drf,kernel_law_error,LAW-A-K,10,0.03048650188702917,,0.0647198087034983,-0.03423330681646914,0.0018355344920451368,10
SYM-LIN,500,25,10,cwdb_dr,drf,mean_quantile_rmse,MEANQ-A-K,10,0.13788570048610366,,0.12574292706249726,0.012142773423606364,0.0067262725148537995,10
SYM-LIN,500,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.045150958539107305,,0.04267550829994356,0.002475450239163752,0.007306473639957712,10
SYM-LIN,1000,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-K,10,0.034988045969588176,,0.033959169125291545,0.0010288768442966347,0.0027227599489084626,10
SYM-LIN,1000,25,10,cwdb_dr,drf,reference_effect_rmse,REF-ATE-K,10,0.01590877751014055,,0.015408437186886798,0.0005003403232537573,0.001996074040475551,10
SYM-LIN,1000,25,10,cwdb_dr,drf,kernel_law_error,LAW-A-K,10,0.023039429744346,,0.0516950399438986,-0.0286556101995526,0.00156882815526116,10
SYM-LIN,1000,25,10,cwdb_dr,drf,mean_quantile_rmse,MEANQ-A-K,10,0.11807793096946177,,0.12084758685084988,-0.002769655881388132,0.006492548928650001,10
SYM-LIN,1000,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-COMMON199,10,0.03492420152858437,,0.03390226879332574,0.0010219327352586367,0.0026673125020201904,10
SYM-MU,500,25,10,cwdb_dr,drf,reference_tcate_rmse,REF-TCATE-K,10,0.04614668986873148,,0.05013507040236973,-0.00398838053363825,0.005404653078015094,10
SYM-MU,500,25,10,cwdb_dr,drf,reference_effect_rmse,REF-ATE-K,10,0.022295253141973843,,0.03526712162386388,-0.01297186848189004,0.007423407162286763,10
SYM-MU,500,25,10,cwdb_dr,drf,kernel_law_error,LAW-A-K,10,0.02732646504254609,,0.06882646183108915,-0.04149999678854304,0.0020900757684167988,10
