dgp,n_train,n_grid,n_particles,metric,target_id,functional,mean,mc_se,n_seeds,primary_mean,absolute_delta,relative_delta,paired_delta,paired_mc_se,n_pairs,evaluated
IC0,1000,25,25,tate_functional_rmse,TATE-K-grid_upper_tail_mean,grid_upper_tail_mean,0.01733213290414034,0.0023713267654335156,10,0.017017113620143146,0.00031501928399719353,0.018511910481945976,-0.00031501928399719196,0.0012864845796848315,10,True
IC0,1000,25,5,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.030808581801904933,0.004624400551736667,10,0.03128150254416055,0.00047292074225561975,0.015118223352218796,0.0004729207422556149,0.0024141444823171754,10,True
IC0,1000,25,10,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03128150254416055,0.004228508472076022,10,0.03128150254416055,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tcate_functional_rmse,TCATE-K-grid_mean,grid_mean,0.03220369829353173,0.004354619560367342,10,0.03128150254416055,0.0009221957493711769,0.02948054519022223,-0.0009221957493711807,0.0023301390182618605,10,True
IC0,1000,25,5,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.022332272077213312,0.0022420901281088724,10,0.02123335815949745,0.0010989139177158616,0.05175412713623583,-0.0010989139177158638,0.0016850135910099228,10,True
IC0,1000,25,10,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.02123335815949745,0.001767512523241318,10,0.02123335815949745,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tcate_functional_rmse,TCATE-K-grid_sd,grid_sd,0.01778746082261843,0.001979177043902674,10,0.02123335815949745,0.003445897336879021,0.16228696897564027,0.00344589733687902,0.0012768471484488138,10,True
IC0,1000,25,5,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.00808766109839364,0.0009454127644066292,10,0.005914916184475782,0.002172744913917858,0.3673331702688228,-0.0021727449139178593,0.0011259693374206562,10,True
IC0,1000,25,10,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.005914916184475782,0.0005784930378811858,10,0.005914916184475782,0.0,0.0,0.0,0.0,10,True
IC0,1000,25,25,tcate_functional_rmse,TCATE-K-grid_skewness,grid_skewness,0.006749462677819544,0.0009776949459657338,10,0.005914916184475782,0.0008345464933437619,0.1410918544431961,-0.000834546493343763,0.00098091399385374,10,True
