grid,dgp,n_train,n_grid,n_particles,method,metric,comparison,native_target_id,common_target_id,n_pairs,native_mean,common_mean,paired_delta,paired_mc_se,p_value
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.032066053944395226,0.032021893730941636,4.416021345358921e-05,6.74062858884061e-05,0.5123808742785148
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.032066053944395226,0.03345192745924176,-0.0013858735148465338,0.0002385482694010347,6.261681019416765e-09
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,cwdb_dr,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.020551096942213472,0.030885053206026313,-0.010333956263812841,0.00010732028952315765,0.0
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.0739669651482885,0.07373937182477035,0.00022759332351813334,4.607870979783973e-05,7.843185360627369e-07
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.0739669651482885,0.07695493447624027,-0.002987969327951788,0.0002044510427438351,2.2669615871602267e-48
wcf_sensitivity_v1_align_null,SYM-ALIGN-NULL,1000,25,10,drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.05544051467582335,0.06511392062372161,-0.009673405947898266,0.00011900065760208464,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.02762224359698694,0.02761709094027153,5.152656715405081e-06,5.946896077080306e-05,0.9309541151332229
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,causal_drf,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.02762224359698694,0.029031109126991538,-0.001408865530004602,0.00042703845938776034,0.0009697678448681234
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,causal_drf,kernel_law_error,LAW-A native vs COMMON199,LAW-A-K,LAW-A-COMMON199,10,0.07492605758290327,0.08424216163438224,-0.009316104051478955,0.00011221171175272658,0.0
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs COMMON199,REF-TCATE-K,REF-TCATE-COMMON199,10,0.037209359221802185,0.03705234402766235,0.0001570151941398368,5.530606776427984e-05,0.004525190604478099
wcf_sensitivity_v1_align_null,SYM-IRREL-NULL,500,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE native vs INTERIOR,REF-TCATE-K,REF-TCATE-INTERIOR,10,0.037209359221802185,0.03876371753578645,-0.0015543583139842672,0.000310727219411598,5.664320495814874e-07
