grid,dgp,n_train,n_grid,n_particles,method,seed,metric,target_id,value,n_arm_rows,wall_seconds
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-COMMON199-grid_upper_tail_mean,0.16700129976363198,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-K-grid_mean,0.16860713983979891,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-K-grid_sd,0.001997707946160858,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-K-grid_skewness,8.301008156456903e-18,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.16705526447481633,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-COMMON199-grid_mean,0.19610311424681504,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-COMMON199-grid_sd,0.0021383970870965086,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-COMMON199-grid_skewness,4.336711917717088e-17,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-COMMON199-grid_upper_tail_mean,0.19501398761330063,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-K-grid_mean,0.19610311424681504,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-K-grid_sd,0.0021459669439355344,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-K-grid_skewness,2.381242209028714e-17,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,2,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.19505043904772187,1,24.255369351998525
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,arm_energy_risk,LAW-A-M-K,0.07349268943064013,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,barycenter_rmse,MEANQ-A-K,0.2756017166619559,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,diagnostic_effective_support,NONE_OPERATIONAL,91.50779574933821,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,kernel_law_error,LAW-A-COMMON199,0.06729538568325649,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,kernel_law_error,LAW-A-INTERIOR,0.057338225734370724,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,kernel_law_error,LAW-A-K,0.057917734982985115,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,mean_quantile_rmse,MEANQ-A-COMMON199,0.22600434827192972,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,mean_quantile_rmse,MEANQ-A-INTERIOR,0.22596657960128247,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,mean_quantile_rmse,MEANQ-A-K,0.22600484966965834,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,mode_coverage,LAW-A-K,1.0,2,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,peak_ram,NONE_OPERATIONAL,304.5469,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,process_peak_ram,NONE_OPERATIONAL,188.0,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,reference_effect_rmse,REF-ATE-COMMON199,0.049253708680598814,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,reference_effect_rmse,REF-ATE-K,0.04923709926093048,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,reference_tcate_rmse,REF-TCATE-COMMON199,0.0700240157783007,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,reference_tcate_rmse,REF-TCATE-INTERIOR,0.07198775388206906,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,reference_tcate_rmse,REF-TCATE-K,0.07026472214761674,1,23.36204760200053
wcf_sensitivity_v1_align,SYM-ALIGN,500,25,10,causal_drf,3,runtime,NONE_OPERATIONAL,20.227,1,23.36204760200053
