grid,dgp,metric,method,mean,standard_error,n,merged_checksum,git_revision
main,D1,tcate_functional_rmse,cwdb_v0,0.05140274757396899,0.002351469394051974,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tcate_functional_rmse,wdrft,0.05327285296057831,0.0024800723015275584,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tcate_functional_rmse,causal_drf,0.07228734167540832,0.003707069675491512,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,tcate_functional_rmse,pta_s,0.03980590267558939,0.0020299708685269165,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,cwdb_v1,0.05617028152888644,0.003208903783503568,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,cwdb_v0,0.05061741500940109,0.0033897923924453037,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,wdrft,0.0765793723187933,0.003777859192750478,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,causal_drf,0.08037881573333801,0.004414234229674304,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_tcate_rmse,pta_s,0.05780566422539657,0.003857324374124368,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,cwdb_v1,0.026896138372713086,0.0035210701449072805,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,cwdb_v0,0.027884970494271855,0.0036902564076301755,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,wdrft,0.02053685728451931,0.0029824297569227545,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,causal_drf,0.02027145566645788,0.0030431440084096903,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D1,reference_effect_rmse,pta_s,0.018841247379365204,0.002944539807270074,40,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
