grid,dgp,metric,claimant,comparator,n_seeds,claimant_mean,comparator_mean,paired_mean_difference,paired_standard_error,seed_win_fraction,claimant_wins,comparator_wins,merged_checksum,git_revision
main,D2,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.030055849151733156,0.020241166143222616,0.009814683008510534,0.0030187938312454593,0.1,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,reference_effect_rmse,cwdb_v1,causal_drf,20,0.0212098059324279,0.01760979648495814,0.0036000094474697617,0.0031235961577096255,0.3,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,tail_calibration,cwdb_v1,causal_drf,20,0.10606965721446485,0.1343517078705984,-0.028282050656133578,0.0021915738153443515,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D2,barycenter_rmse,cwdb_v1,causal_drf,20,0.17565644619724743,0.3364581810480578,-0.16080173485081037,0.0029501257274287956,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.25895963071397915,0.3972308170420698,-0.1382711863280906,0.003188762771109579,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,kernel_law_error,cwdb_v1,causal_drf,20,0.013254091249217443,0.022297849617047383,-0.009043758367829943,0.00034563339642499784,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,arm_energy_risk,cwdb_v1,causal_drf,20,0.05637915993319843,0.057197632178210646,-0.0008184722450122188,0.0009422454127034803,0.55,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.05974013034779685,0.044956817853319106,0.014783312494477747,0.003069618723887111,0.2,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.0370243776144856,0.03086150902844139,0.0061628685860441994,0.004152360027746836,0.45,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,reference_effect_rmse,cwdb_v1,causal_drf,20,0.025219499753471562,0.01749618757658337,0.007723312176888189,0.004012835251951828,0.35,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,tail_calibration,cwdb_v1,causal_drf,20,0.10302400588402512,0.11696772390093554,-0.013943718016910417,0.002821963261949357,0.85,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D3,barycenter_rmse,cwdb_v1,causal_drf,20,0.21146473252843934,0.27744644407281166,-0.06598171154437232,0.0017275425746969672,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.17653403868328016,0.1557258085395642,0.020808230143715967,0.009568914746006773,0.3,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,kernel_law_error,cwdb_v1,causal_drf,20,0.008893507101713268,0.025762297296008336,-0.016868790194295068,0.001698067027765623,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,arm_energy_risk,cwdb_v1,causal_drf,20,0.04966102847118906,0.06806953654302791,-0.018408508071838848,0.0038719288246327715,0.9,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.07507750495221813,0.078462045937744,-0.003384540985525886,0.005954059500243424,0.55,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.0609451836020539,0.0729622838109178,-0.01201710020886389,0.00427759370213311,0.75,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,reference_effect_rmse,cwdb_v1,causal_drf,20,0.02535321613649274,0.019644143964706918,0.0057090721717858225,0.005038441024179529,0.5,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,tail_calibration,cwdb_v1,causal_drf,20,0.07215783180706063,0.12821207494718145,-0.056054243140120794,0.0056113509911466545,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D4,barycenter_rmse,cwdb_v1,causal_drf,20,0.19417351239317265,0.3429585056164497,-0.148784993223277,0.01277391295748099,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.15590669007978197,0.07542247424913744,0.0804842158306445,0.004403052865704104,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,kernel_law_error,cwdb_v1,causal_drf,20,0.019954814063472763,0.05546103030149395,-0.0355062162380212,0.003044795258991275,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,arm_energy_risk,cwdb_v1,causal_drf,20,0.04853104249202585,0.06264626889615993,-0.014115226404134087,0.0029881962035198605,0.95,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.037639546856495426,0.03281931835057018,0.0048202285059252515,0.0027994278829205563,0.15,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.09605562627484673,0.023021874727458605,0.07303375154738811,0.0045481992165149155,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,reference_effect_rmse,cwdb_v1,causal_drf,20,0.0937314157627038,0.017923845459374692,0.0758075703033291,0.004818520901240563,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,tail_calibration,cwdb_v1,causal_drf,20,0.08066426063511276,0.0833239211778301,-0.0026596605427173293,0.003305767553935927,0.5,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D5,barycenter_rmse,cwdb_v1,causal_drf,20,0.16482715984201482,0.25016405787838913,-0.0853368980363743,0.0083580325110033,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.24898064816280266,0.23950450392172903,0.009476144241073622,0.009179532107965552,0.4,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,kernel_law_error,cwdb_v1,causal_drf,20,0.019097738345714866,0.009449670568322343,0.009648067777392525,0.00045213512050046203,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,arm_energy_risk,cwdb_v1,causal_drf,20,0.06964776616093646,0.04352711005996994,0.026120656100966512,0.0014769142775302633,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.08810047909191858,0.10121439797348168,-0.013113918881563094,0.005433180762815434,0.7,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.07462629952820891,0.04116124169666974,0.03346505783153917,0.006088623682225953,0.05,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,reference_effect_rmse,cwdb_v1,causal_drf,20,0.048503988345809226,0.022067112210389782,0.026436876135419445,0.007413215171884837,0.2,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,tail_calibration,cwdb_v1,causal_drf,20,0.08011562685607888,0.058894811215574404,0.02122081564050448,0.001955993046168817,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,mode_coverage,cwdb_v1,causal_drf,20,0.9965000000000002,1.0,0.0034999999999999697,0.0009707905080532633,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D6,barycenter_rmse,cwdb_v1,causal_drf,20,0.32437464650664505,0.3329002529823285,-0.008525606475683503,0.005832090280818578,0.6,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.12643495852064487,0.08811072507696252,0.038324233443682354,0.004748591502323225,0.05,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,kernel_law_error,cwdb_v1,causal_drf,20,0.010071229650731806,0.02509944577933414,-0.015028216128602334,0.0010543323050135405,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,arm_energy_risk,cwdb_v1,causal_drf,20,0.04762019457747909,0.05871240676040277,-0.011092212182923675,0.0020630993610292413,0.9,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.02834847855052174,0.0575950763292629,-0.02924659777874116,0.003471726194658325,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.028925209449849953,0.023031803682818323,0.005893405767031632,0.002572011824779552,0.3,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,reference_effect_rmse,cwdb_v1,causal_drf,20,0.020159174370626302,0.016519470286660086,0.003639704083966221,0.0026943894645072544,0.35,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,tail_calibration,cwdb_v1,causal_drf,20,0.049885027401544615,0.05129842388881282,-0.0014133964872682168,0.001124447548003419,0.55,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D7,barycenter_rmse,cwdb_v1,causal_drf,20,0.17509485712771417,0.29616922406364093,-0.12107436693592677,0.005856418346220963,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.17414614936570544,0.3317873629804212,-0.15764121361471578,0.010086500957851893,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,kernel_law_error,cwdb_v1,causal_drf,20,0.015168889017442237,0.07950428564476555,-0.06433539662732332,0.0019993945960845774,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,arm_energy_risk,cwdb_v1,causal_drf,20,0.0633848048914663,0.18046329840643233,-0.11707849351496602,0.0039315375081755395,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.0549608885375482,0.16635880999450356,-0.11139792145695537,0.006214162985584659,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.04537988150254972,0.07205577034445511,-0.026675888841905398,0.004816366625622219,0.9,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,reference_effect_rmse,cwdb_v1,causal_drf,20,0.024776659358831197,0.04335400050794709,-0.018577341149115904,0.007555313786810468,0.7,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,tail_calibration,cwdb_v1,causal_drf,20,0.09577438925567325,0.19815765021404969,-0.10238326095837647,0.005161694809592124,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D8,barycenter_rmse,cwdb_v1,causal_drf,20,0.25119048023972856,0.6076996894862792,-0.3565092092465505,0.008602878794854475,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,mean_quantile_rmse,cwdb_v1,causal_drf,20,0.22113059860197967,0.24752253741382915,-0.026391938811849452,0.008387581276012458,0.7,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,kernel_law_error,cwdb_v1,causal_drf,20,0.012858325161172631,0.022031683738314278,-0.009173358577141648,0.0007792428196502793,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,arm_energy_risk,cwdb_v1,causal_drf,20,0.053898775141556596,0.05806765850929935,-0.004168883367742759,0.0020067713568541687,0.6,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,tcate_functional_rmse,cwdb_v1,causal_drf,20,0.09584852907094996,0.11692012385736295,-0.021071594786413007,0.005481039289847435,0.75,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,reference_tcate_rmse,cwdb_v1,causal_drf,20,0.06630906976506351,0.08947034859929084,-0.023161278834227323,0.006097454328633212,0.9,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,reference_effect_rmse,cwdb_v1,causal_drf,20,0.031379251460091545,0.03174681865879973,-0.00036756719870818105,0.006765059952546908,0.65,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,tail_calibration,cwdb_v1,causal_drf,20,0.10246485449926464,0.12270060962744052,-0.020235755128175874,0.0028338516623114193,0.95,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,mode_coverage,cwdb_v1,causal_drf,20,1.0,1.0,0.0,0.0,0.0,False,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D9,barycenter_rmse,cwdb_v1,causal_drf,20,0.21302486415032784,0.28352351478652194,-0.07049865063619411,0.0055273527763173,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,mean_quantile_rmse,cwdb_v1,wdrft,20,0.10130602854464825,0.12513628888860448,-0.023830260343956255,0.0018487395878799494,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,kernel_law_error,cwdb_v1,wdrft,20,0.020503958518921013,0.08232217825276181,-0.061818219733840794,0.0017250509566880106,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,arm_energy_risk,cwdb_v1,wdrft,20,0.05025091161616248,0.10879088905950078,-0.0585399774433383,0.0004783407481451009,1.0,True,False,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
main,D0,tcate_functional_rmse,cwdb_v1,wdrft,20,0.045027846202563546,0.028591077245484153,0.01643676895707939,0.0016881049776527432,0.0,False,True,a871fd7b6ab72544e1f0f317c16cb18551759b575899188c0bfb1d048f9a4a69,63651f1b650ba00f6a69f98bd79b8b8708ada257
