year,state_fips,k,u_k,earnwke_q
2010,19,14,0.54,634.61
2010,19,15,0.58,675.0
2010,19,16,0.62,720.1619928651716
2010,19,17,0.66,770.0
2010,19,18,0.7,840.0
2010,19,19,0.74,903.84
2010,19,20,0.78,977.2960768505499
2010,19,21,0.82,1057.69
2010,19,22,0.86,1179.2526587041916
2010,19,23,0.9,1311.5874857768708
2010,19,24,0.94,1576.92
2010,19,25,0.98,2307.0
2010,20,1,0.02,72.5
2010,20,2,0.06,135.23514922612657
2010,20,3,0.1,203.4515302674458
2010,20,4,0.14,254.4948460926621
2010,20,5,0.18,300.0
2010,20,6,0.22,340.0
2010,20,7,0.26,376.0
2010,20,8,0.3,408.0
2010,20,9,0.34,450.0
2010,20,10,0.38,480.76
2010,20,11,0.42,519.0
2010,20,12,0.46,555.6331181973835
2010,20,13,0.5,587.7665451962279
2010,20,14,0.54,630.0
2010,20,15,0.58,680.0
2010,20,16,0.62,740.0
2010,20,17,0.66,787.6827895339346
2010,20,18,0.7,850.0
2010,20,19,0.74,942.3
2010,20,20,0.78,1011.0853770687486
2010,20,21,0.82,1137.9235856886064
2010,20,22,0.86,1250.0
2010,20,23,0.9,1442.3
2010,20,24,0.94,1805.5703040105577
2010,20,25,0.98,2593.509174360412
2010,21,1,0.02,92.08389568238339
2010,21,2,0.06,150.0
2010,21,3,0.1,200.0
2010,21,4,0.14,250.0
2010,21,5,0.18,299.331401967278
2010,21,6,0.22,325.0
2010,21,7,0.26,360.0
2010,21,8,0.3,398.21399281277684
2010,21,9,0.34,424.0
2010,21,10,0.38,461.53
2010,21,11,0.42,500.0
2010,21,12,0.46,538.46
2010,21,13,0.5,576.0
2010,21,14,0.54,600.0
2010,21,15,0.58,650.0
2010,21,16,0.62,696.8
2010,21,17,0.66,750.0
2010,21,18,0.7,800.0
2010,21,19,0.74,865.38
2010,21,20,0.78,959.9172620967092
2010,21,21,0.82,1047.0264545052694
2010,21,22,0.86,1160.0
2010,21,23,0.9,1327.2709235726716
2010,21,24,0.94,1538.46
2010,21,25,0.98,2189.0160017325725
2010,22,1,0.02,91.2622748012575
2010,22,2,0.06,160.0
2010,22,3,0.1,200.0
2010,22,4,0.14,250.0
2010,22,5,0.18,300.0
2010,22,6,0.22,325.0
2010,22,7,0.26,360.0
2010,22,8,0.3,400.0
2010,22,9,0.34,433.1720708306947
2010,22,10,0.38,463.7119092420433
2010,22,11,0.42,500.0
2010,22,12,0.46,550.0
2010,22,13,0.5,579.6873000924118
2010,22,14,0.54,615.7277425909966
2010,22,15,0.58,692.2991626468754
2010,22,16,0.62,769.0
2010,22,17,0.66,807.69
2010,22,18,0.7,896.5379221919112
2010,22,19,0.74,961.4572532389462
2010,22,20,0.78,1038.0
2010,22,21,0.82,1153.84
2010,22,22,0.86,1346.0
2010,22,23,0.9,1519.031252165633
2010,22,24,0.94,1813.5134064372858
2010,22,25,0.98,2750.934050273024
2010,23,1,0.02,72.69187415628666
2010,23,2,0.06,130.0
2010,23,3,0.1,187.0
2010,23,4,0.14,240.0
2010,23,5,0.18,297.5
2010,23,6,0.22,340.0
2010,23,7,0.26,384.0
2010,23,8,0.3,415.0
2010,23,9,0.34,450.0
2010,23,10,0.38,490.6300364558849
2010,23,11,0.42,531.4725010879621
2010,23,12,0.46,576.0
2010,23,13,0.5,600.0
2010,23,14,0.54,649.1203527784963
