year,state_fips,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
2010,15,90.02071443141563,174.0,230.0,285.0636093660017,326.4277447903134,366.3517213537361,400.0,450.0,484.4650472087184,520.0,560.0,600.0,635.7490070368062,673.07,727.0482187257194,769.23,828.0,900.0,970.8823270615068,1050.0,1153.84,1250.0,1442.3,1800.0,2634.136072677801
2010,16,59.55669456340613,120.0,173.05851521562926,230.76,271.90765625969766,315.0,359.49498790315994,400.0,420.0,461.53,500.0,528.6083163847935,576.4022036694478,600.0,647.1813834762985,700.0,768.5353536529917,826.6062032701518,912.584748635625,1000.0,1076.5103530259098,1211.53,1382.2073204637543,1687.9862877800608,2461.3820136718905
2010,17,96.0,156.5023809549228,200.0,255.0,307.69,346.15,384.61,416.0,461.53,500.0,550.0,600.0,653.0,700.0,769.0,826.0,900.0,961.53,1050.0,1153.0,1250.0,1415.1296678944188,1680.0,2019.23,2884.61
2010,18,83.80336252705777,160.0,217.5,269.13806418625006,304.0,340.3464449320144,380.0,405.125384313895,456.0,500.0,520.0,562.5,600.0,635.3501549466288,700.0,750.0,807.0,877.3102720736807,950.0,1000.0,1100.0,1200.0,1384.2521646142293,1664.936193300433,2409.7822851522087
2010,19,66.05678993215419,133.23942268209265,181.25,247.62531427395595,290.0,332.8363190434337,370.2227165726571,400.0,450.0,480.76,520.0,560.0,600.0,634.61,675.0,720.1619928651716,770.0,840.0,903.84,977.2960768505499,1057.69,1179.2526587041916,1311.5874857768708,1576.92,2307.0
2010,20,72.5,135.23514922612657,203.4515302674458,254.4948460926621,300.0,340.0,376.0,408.0,450.0,480.76,519.0,555.6331181973835,587.7665451962279,630.0,680.0,740.0,787.6827895339346,850.0,942.3,1011.0853770687486,1137.9235856886064,1250.0,1442.3,1805.5703040105577,2593.509174360412
2010,21,92.08389568238339,150.0,200.0,250.0,299.331401967278,325.0,360.0,398.21399281277684,424.0,461.53,500.0,538.46,576.0,600.0,650.0,696.8,750.0,800.0,865.38,959.9172620967092,1047.0264545052694,1160.0,1327.2709235726716,1538.46,2189.0160017325725
2010,22,91.2622748012575,160.0,200.0,250.0,300.0,325.0,360.0,400.0,433.1720708306947,463.7119092420433,500.0,550.0,579.6873000924118,615.7277425909966,692.2991626468754,769.0,807.69,896.5379221919112,961.4572532389462,1038.0,1153.84,1346.0,1519.031252165633,1813.5134064372858,2750.934050273024
2010,23,72.69187415628666,130.0,187.0,240.0,297.5,340.0,384.0,415.0,450.0,490.6300364558849,531.4725010879621,576.0,600.0,649.1203527784963,698.1982373933133,744.0,800.0,865.38,960.0,1038.46,1153.0,1250.0,1401.8300679073648,1651.8494936368759,2489.6951421898207
2010,24,57.63702594540121,160.0,240.0,300.0,353.9558706655602,400.0,461.0,500.0,560.0,600.0,650.0,700.0,769.0567672013913,830.0,900.0,961.53,1057.299555678336,1153.84,1250.0,1365.38,1500.0,1666.7397513193735,1923.0127516163166,2307.2353079718696,2884.61
