state_fips,n_records,n_wage_earners_16_64,sum_PWGTP,n_ftyr,median_wage_all_16_64,median_wage_ftyr,se_median,cv_median,cv_p90,statename,stateabb,min_mw,min_fed_mw,mw_above_fed,medicaid_expanded,rtw,impl_year,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
24,28787,28787,2998980.0,20585,46466.670000000006,60608.7,701.3170364325944,0.0150929050098187,0.0030983866769659,Maryland,MD,10.1,7.25,1,1,0,2014.0,979.84065,3131.4495,6767.971500000001,10505.508000000002,15152.175,20202.9,23233.335000000003,27071.886,30304.35,35031.40770624999,38385.51,41533.55473928583,46466.670000000006,50507.25,55557.975000000006,60608.7,65659.425,72730.44,80811.6,88892.76000000001,98994.21,109095.66,126268.125,151521.75,227282.62500000003
25,35405,35405,3557071.0,23121,46466.670000000006,63639.135,917.2586458612724,0.0197401416081951,0.0034401045807688,Massachusetts,MA,12.0,7.25,1,1,0,2019.0,1010.145,3030.4350000000004,5656.812000000001,9394.3485,13131.885,18182.61,22223.19,25655.76028082386,30304.35,34344.93,38385.51,41415.945,46466.670000000006,50507.25,55557.975000000006,60608.7,66522.3774428592,72730.44,80811.6,89902.90500000001,101014.5,111115.95,131318.85,161623.2,262637.7
26,44729,44729,4719504.0,29174,35355.075000000004,48486.96000000001,657.7805538894579,0.0186049825630254,0.0163554008854879,Michigan,MI,9.25,7.25,1,1,1,2014.0,808.1160000000001,2828.4060000000004,5050.725,7677.102000000001,10101.45,13131.885,16162.320000000002,20202.9,22223.19,25253.625,29092.176000000003,30304.35,35355.075000000004,38385.51,40405.8,45456.525,50507.25,55557.975000000006,60608.7,65659.425,73740.585,82831.89,98994.21,121217.4,186876.825
27,27011,27011,2927852.0,17784,41415.945,55557.975000000006,753.7764150811537,0.0182001500890817,0.014920911764033,Minnesota,MN,9.86,7.25,1,1,0,2014.0,1010.145,3434.4930000000004,6060.870000000001,10101.45,13131.885,18182.61,21213.045,25253.625,30304.35,32324.640000000003,35355.075000000004,39900.7275,41415.945,45456.525,50507.25,52527.54,58588.41,61618.845,69700.005,75760.875,81821.74500000001,90913.05,106065.225,132328.995,211498.02440444435
28,11450,11450,1237469.0,7992,30304.35,38817.285393292674,245.36336796774515,0.0080966385343274,0.0171189123494097,Mississippi,MS,7.25,7.25,0,0,1,2021.0,808.1160000000001,3030.4350000000004,5050.725,7778.116500000001,10101.45,12767.689464431814,15152.175,18182.61,20202.9,22223.19,25253.625,26566.8135,30304.35,32324.640000000003,35355.075000000004,38385.51,41415.945,45456.525,50507.25,54547.83,60608.7,67679.71500000001,80811.6,98994.21,141420.30000000002
29,27646,27646,2874787.0,19229,35355.075000000004,45456.525,0.0,0.0,0.0024845199749997,Missouri,MO,8.6,7.25,1,0,0,,1010.145,3030.4350000000004,5757.8265,8889.276,12121.740000000002,15152.175,18182.61,20202.9,24243.480000000003,26566.8135,30304.35,32324.640000000003,35355.075000000004,38385.51,40405.8,45456.525,49194.0615,52359.611436305626,57578.26500000001,62628.990000000005,70710.15000000001,78791.31000000001,90913.05,111115.95,176775.375
30,4571,4571,508677.0,2853,31516.524,44244.351,1067.5360624090974,0.0338722653046731,0.0333586182630403,Montana,MT,8.5,7.25,1,1,0,2016.0,899.0290500000001,2323.3335,4040.58,6060.870000000001,9091.305,11616.6675,14142.03,18182.61,20202.9,23233.335000000003,25253.625,29294.205,31516.524,35355.075000000004,38789.568,40405.8,45456.525,50507.25,53537.685000000005,60608.7,65659.425,72730.44,81821.74500000001,101014.5,161623.2
31,9197,9197,974283.0,6332,36365.22,45456.525,532.2145632564293,0.0146352631238427,0.0262931294899328,Nebraska,NE,9.0,7.25,1,0,1,2023.0,1010.145,3030.4350000000004,5050.725,9091.305,12121.740000000002,15152.175,20202.9,22425.219,25253.625,29294.205,30304.35,34103.36103857144,36365.22,40405.8,41415.945,45456.525,50507.25,52527.54,56568.12,60608.7,68689.86,75760.875,86872.47,106065.225,157582.62000000002
32,13103,13103,1434824.0,9085,35355.075000000004,42426.09,0.0,0.0,0.0089580641647762,Nevada,NV,8.25,7.25,1,1,1,2014.0,1010.145,4444.638,8081.160000000001,11313.624000000002,14699.040174306563,18012.359615675683,20202.9,23233.335000000003,25253.625,28284.06,30304.35,32728.698000000004,35355.075000000004,38385.51,40405.8,43638.264,48142.00538588244,50507.25,56568.12,61618.845,70710.15000000001,80811.6,90913.05,114146.385,173261.16244864737
33,6710,6710,695874.0,4394,41745.78826530613,55557.975000000006,1129.5811625805488,0.0270585658941626,0.0061432284833244,New Hampshire,NH,7.25,7.25,0,0,0,2020.0,879.3358140681818,2828.4060000000004,5050.725,9647.192929830511,13131.885,18182.61,21680.418689556656,25253.625,29092.176000000003,31011.451500000003,35355.075000000004,39395.655000000006,41745.78826530613,45456.525,50507.25,55557.975000000006,60608.7,64649.280000000006,70710.15000000001,75760.875,85862.32500000001,95963.775,111115.95,141420.30000000002,202029.0
34,42484,42484,4337906.0,29521,46062.612,60608.7,1026.2866424857373,0.022280252854218,0.0212050080235561,New Jersey,NJ,8.85,7.25,1,1,0,2014.0,1010.145,3535.5075,6868.986000000001,10101.45,15152.175,19192.755,22223.19,25758.6975,30304.35,33334.785,37375.365000000005,40405.8,46062.612,50507.25,55557.975000000006,60608.7,66669.57,74750.73000000001,80811.6,90913.05,101014.5,116166.675,136369.575,176775.375,301023.21
35,7768,7768,904259.0,5257,30304.35,40405.8,225.87528871315263,0.0074535599249993,0.0212573636916838,New Mexico,NM,7.5,7.25,1,1,0,2014.0,808.1160000000001,3030.4350000000004,5050.725,7576.087500000001,10101.45,12121.740000000002,15152.175,18182.61,20202.9,23233.335000000003,25253.625,28284.06,30304.35,34344.93,37375.365000000005,40405.8,45456.525,50507.25,53537.685000000005,60608.7,65659.425,75760.875,85862.32500000001,111115.95,151521.75
36,91555,91555,9294666.0,61567,42325.075500000006,56568.12,531.3796661505604,0.0125547245899315,0.0032274861218395,New York,NY,11.1,7.25,1,1,0,2014.0,1010.145,3636.522,6970.0005,10101.45,14546.088000000002,18182.61,21011.016000000003,25253.625,28284.06,30304.35,35355.075000000004,39395.655000000006,42325.075500000006,46466.670000000006,50507.25,55557.975000000006,60608.7,68689.86,75760.875,80811.6,90913.05,101014.5,121217.4,157582.62000000002,287891.325
37,45642,45642,4879838.0,31459,34850.0025,43436.235,766.9788256340048,0.0220079991567864,0.0172965018159526,North Carolina,NC,7.25,7.25,0,1,1,2014.0,855.070007129771,3030.4350000000004,5050.725,8687.247000000001,12121.740000000002,15152.175,18182.61,20202.9,23738.4075,25253.625,29193.1905,30304.35,34850.0025,37072.321500000005,40405.8,43436.235,47476.815,50507.25,55557.975000000006,60608.7,70710.15000000001,80811.6,95963.775,121217.4,196978.275
38,3662,3662,394919.0,2418,37375.365000000005,48378.88154895105,1379.251113416348,0.0369026794364776,0.0541805039019167,North Dakota,ND,7.25,7.25,0,1,1,2014.0,1212.174,3636.522,6060.870000000001,9091.305,11111.595,15152.175,20202.9,23233.335000000003,25253.625,28995.650679826773,30304.35,35355.075000000004,37375.365000000005,40405.8,43436.235,46466.670000000006,50507.25,53537.685000000005,60608.7,62628.990000000005,68689.86,75760.875,90913.05,111115.95,181676.11914915184
39,54960,54960,5590487.0,36751,35355.075000000004,47476.815,0.0,0.0,0.0160127726195725,Ohio,OH,8.55,7.25,1,1,0,2014.0,909.1305,3030.4350000000004,5050.725,8081.160000000001,11111.595,15152.175,18182.61,20202.9,24243.480000000003,26394.595127443805,30304.35,32324.640000000003,35355.075000000004,39294.6405,41415.945,45456.525,50507.25,53537.685000000005,60608.7,65659.425,70710.15000000001,80811.6,91923.195,111115.95,176775.375
40,15510,15510,1746067.0,10931,33334.785,42426.09,849.806478185706,0.0254930841217576,0.0166884197943101,Oklahoma,OK,7.25,7.25,0,0,1,2021.0,951.9855736558444,3030.4350000000004,6060.870000000001,9091.305,12121.740000000002,15152.175,18182.61,20202.9,23233.335000000003,25253.625,28284.06,30304.35,33334.785,36365.22,40405.8,42426.09,46466.670000000006,50507.25,55557.975000000006,60608.7,66669.57,75760.875,86647.48315909137,106065.225,176775.375
