paper_dgp,dgp,n_train,n_grid,n_particles,method,metric,target_id,mean,mc_sd,n_replications,mc_se
LS0,IC0,250,25,10,causal_drf,barycenter_rmse,MEANQ-A-K,0.3792270364617982,0.01630374575832644,20,0.003645628380349178
LS0,IC0,250,25,10,causal_drf,diagnostic_effective_support,NONE_OPERATIONAL,74.06822077404128,2.474504135045533,10,0.7825069146248766
LS0,IC0,250,25,10,causal_drf,kernel_law_error,LAW-A-K,0.08989850906077086,0.009628558584216202,20,0.002153011151964656
LS0,IC0,250,25,10,causal_drf,mean_quantile_rmse,MEANQ-A-K,0.2877423993614083,0.04244398189476833,10,0.013421965575441704
LS0,IC0,250,25,10,causal_drf,mode_coverage,LAW-A-K,1.0,0.0,20,0.0
LS0,IC0,250,25,10,causal_drf,peak_ram,NONE_OPERATIONAL,288.50194999999997,0.11045162088242721,10,0.03492786932458868
LS0,IC0,250,25,10,causal_drf,process_peak_ram,NONE_OPERATIONAL,871.140234375,103.0768378178492,10,32.59575815121836
LS0,IC0,250,25,10,causal_drf,reference_effect_rmse,REF-ATE-K,0.23561006148574487,0.040745350364777666,10,0.012884811121426993
LS0,IC0,250,25,10,causal_drf,reference_tcate_rmse,REF-TCATE-K,0.23607108030249116,0.04040745809659689,10,0.012777960204305824
LS0,IC0,250,25,10,causal_drf,runtime,NONE_OPERATIONAL,7.4205,1.9593695272828056,10,0.6196070484141093
LS0,IC0,250,25,10,causal_drf,tail_calibration,LAW-A-K,2.9344056335405933e-05,1.4404177339705474e-05,20,3.220871969154352e-06
LS0,IC0,250,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_mean,0.2786055271646774,0.04190387370944215,10,0.013251168370588599
LS0,IC0,250,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_sd,0.01817095704795422,0.006760751373115644,10,0.0021379373033156295
LS0,IC0,250,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_skewness,0.10395776859223856,0.023475284490387566,10,0.0074235367710049835
LS0,IC0,250,25,10,causal_drf,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.2800198204986382,0.042090084859196596,10,0.013310053506482874
LS0,IC0,250,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_mean,0.2791033202870108,0.04155723669732634,10,0.013141552122628464
LS0,IC0,250,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_sd,0.01836186852579082,0.0068817354534498314,10,0.002176195828763311
LS0,IC0,250,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_skewness,0.1040937805536128,0.023504481037466857,10,0.007432769529863273
LS0,IC0,250,25,10,causal_drf,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.28051544345101764,0.041773944471705786,10,0.013210081137998956
LS0,IC0,250,25,10,cwdb_dr,arm_energy_risk,LAW-A-M-K,0.06486831800628984,0.004113934670453725,20,0.0009199037578127725
LS0,IC0,250,25,10,cwdb_dr,barycenter_rmse,MEANQ-A-K,0.18764165876687564,0.01142805105037561,20,0.0025553898998977734
LS0,IC0,250,25,10,cwdb_dr,diagnostic_dense_dr_n_levels,NONE_OPERATIONAL,199.0,0.0,10,0.0
LS0,IC0,250,25,10,cwdb_dr,diagnostic_dr_if_se_reference,NONE_OPERATIONAL,0.036205058147814995,0.0048593057434735,10,0.0015366473996514145
LS0,IC0,250,25,10,cwdb_dr,diagnostic_effective_support,NONE_OPERATIONAL,9.999999999999998,0.0,10,0.0
LS0,IC0,250,25,10,cwdb_dr,diagnostic_ehat_mean,NONE_OPERATIONAL,0.503826897479165,0.024579093346814268,10,0.0077725917797824
LS0,IC0,250,25,10,cwdb_dr,diagnostic_n_boosting_steps,NONE_OPERATIONAL,100.0,0.0,10,0.0
LS0,IC0,250,25,10,cwdb_dr,diagnostic_selected_contrast_shrinkage,NONE_OPERATIONAL,170.0,228.76479915697988,10,72.34178138070236
LS0,IC0,250,25,10,cwdb_dr,diagnostic_train_risk,NONE_OPERATIONAL,0.027752602500311807,0.0031314650854046976,10,0.000990256208317254
LS0,IC0,250,25,10,cwdb_dr,kernel_law_error,LAW-A-K,0.025505224115757025,0.002936315932906681,20,0.000656580202939505
LS0,IC0,250,25,10,cwdb_dr,mean_quantile_rmse,MEANQ-A-K,0.07394176603020562,0.06411038807331211,10,0.020273484798896017
LS0,IC0,250,25,10,cwdb_dr,mode_coverage,LAW-A-K,1.0,0.0,20,0.0
LS0,IC0,250,25,10,cwdb_dr,peak_ram,NONE_OPERATIONAL,0.0,0.0,10,0.0
LS0,IC0,250,25,10,cwdb_dr,process_peak_ram,NONE_OPERATIONAL,871.140234375,103.0768378178492,10,32.59575815121836
LS0,IC0,250,25,10,cwdb_dr,reference_effect_rmse,REF-ATE-K,0.030963230473030977,0.026453167314991467,10,0.008365226004089387
LS0,IC0,250,25,10,cwdb_dr,reference_tcate_rmse,REF-TCATE-K,0.06665073872316064,0.027389771801477246,10,0.008661406348492131
LS0,IC0,250,25,10,cwdb_dr,runtime,NONE_OPERATIONAL,79.862919702,17.73905609919273,10,5.6095820814950805
LS0,IC0,250,25,10,cwdb_dr,tail_calibration,LAW-A-K,0.0001287370971027536,0.0003085804793087868,20,6.900069282639146e-05
LS0,IC0,250,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_mean,0.03926056964054169,0.03121673645889108,10,0.009871598832731502
LS0,IC0,250,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_sd,0.016429371227114072,0.0082516327698473,10,0.0026093953968001444
LS0,IC0,250,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_skewness,0.013001224844961462,0.009551145435597864,10,0.0030203373840010307
LS0,IC0,250,25,10,cwdb_dr,tate_functional_rmse,TATE-K-grid_upper_tail_mean,0.040148070348631396,0.030485839240550063,10,0.0096404688381876
LS0,IC0,250,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_mean,0.0786280246886303,0.034829474718957476,10,0.011014046981915855
LS0,IC0,250,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_sd,0.04355780507908265,0.014732027331214186,10,0.004658676091848861
LS0,IC0,250,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_skewness,0.026213075389018875,0.010898308052102748,10,0.0034463476086797683
LS0,IC0,250,25,10,cwdb_dr,tcate_functional_rmse,TCATE-K-grid_upper_tail_mean,0.08965430914709878,0.026712303364130448,10,0.008447172018003036
LS0,IC0,250,25,10,drf,arm_energy_risk,LAW-A-M-K,0.17065571773026142,0.013807418390852847,20,0.0030874326115727722
LS0,IC0,250,25,10,drf,barycenter_rmse,MEANQ-A-K,0.48292980461161433,0.01657702811898319,20,0.003706736173897188
LS0,IC0,250,25,10,drf,diagnostic_effective_support,NONE_OPERATIONAL,117.00724439774349,1.2940189461985436,10,0.4092047205398282
LS0,IC0,250,25,10,drf,kernel_law_error,LAW-A-K,0.13297536803000037,0.011515701430640964,20,0.002574989120750477
LS0,IC0,250,25,10,drf,mean_quantile_rmse,MEANQ-A-K,0.2985295054445561,0.04735456365214986,10,0.014974827874421502
