statefips,year,A1,A2,A3,rmw,fed_only
6,2007,1.0,1.0,1.0,8.681671599769146,False
6,2008,0.0,0.0,1.0,8.918147629594639,False
6,2009,0.0,0.0,1.0,8.949744065260372,False
6,2010,0.0,0.0,1.0,8.805859011535658,False
6,2011,0.0,0.0,1.0,8.536484670295055,False
6,2012,0.0,0.0,1.0,8.363118385996058,False
6,2013,0.0,0.0,1.0,8.242158848924651,False
6,2014,0.0,0.0,1.0,8.111020803956624,False
6,2015,1.0,1.0,1.0,9.113542423297085,False
6,2016,1.0,1.0,1.0,10.0,False
8,1980,0.0,0.0,0.0,8.601158952164315,True
8,1981,0.0,0.0,0.0,8.488783757021821,True
8,1982,0.0,0.0,0.0,8.005066209135727,False
8,1983,0.0,0.0,0.0,7.678116618694963,False
8,1984,0.0,0.0,0.0,7.373372364907972,False
8,1985,0.0,0.0,0.0,7.128990246007251,False
8,1986,0.0,0.0,0.0,7.003938757694334,False
8,1987,0.0,0.0,0.0,6.773664871613358,False
8,1988,0.0,0.0,0.0,6.5344694871940305,False
8,1989,0.0,0.0,0.0,6.263619651583989,False
8,1990,0.0,0.0,0.0,5.967486704586653,False
8,1991,0.0,1.0,0.0,6.533633195462452,True
8,1992,0.0,1.0,0.0,7.127210476585884,True
8,1993,0.0,0.0,0.0,6.954122154134888,False
8,1994,0.0,0.0,0.0,6.8116153757431155,False
8,1995,0.0,0.0,0.0,6.65113180555359,False
8,1996,0.0,0.0,0.0,6.477205175080615,False
8,1997,0.0,1.0,0.0,7.086088401909752,True
8,1998,0.0,1.0,0.0,7.578340009037032,True
8,1999,0.0,0.0,0.0,7.421414860688944,False
8,2000,0.0,0.0,0.0,7.177693097786782,False
8,2001,0.0,0.0,0.0,6.981532166896606,False
8,2002,0.0,0.0,0.0,6.871888530204329,False
8,2003,0.0,0.0,0.0,6.719528313602171,False
8,2004,0.0,0.0,0.0,6.54357467183409,False
8,2005,0.0,0.0,0.0,6.330474290075012,False
8,2006,0.0,0.0,0.0,6.131505661998495,False
8,2007,1.0,1.0,1.0,7.929260061122487,False
8,2008,0.0,0.0,1.0,7.825674544969296,False
8,2009,1.0,1.0,1.0,8.144267099386939,False
