run,seed,n,treated,shrinkage,functional,dr,if_se,plugin
fit_ext_2017_2022_seed0,0,306,66,0.0,p10,0.3443117416741071,0.1066115561021938,0.2551904815531096
fit_ext_2017_2022_seed0,0,306,66,0.0,p90,2.1192400053871085,0.5095783912046109,1.5985180814577897
fit_ext_2017_2022_seed0,0,306,66,0.0,ref_us2016,-0.24455220394541424,0.22483125308676183,-0.24436296358386542
fit_ext_2017_2022_seed0,0,306,66,0.0,ref_mean_norm,0.014360895140995762,0.003756355693157512,0.014234981073430096
fit_fd_seed0,0,867,117,500.0,mean,0.22565445299773768,0.09795740479549564,0.05305447994735827
fit_fd_seed0,0,867,117,500.0,sd,0.026005300788051813,0.06469797510127538,-0.009927661919684482
fit_fd_seed0,0,867,117,500.0,skew,-0.07884218707921126,0.35083381153748944,-0.06508345154913793
fit_fd_seed0,0,867,117,500.0,tail,0.25983157011535407,0.13498623291369455,0.05185042867899248
fit_fd_seed0,0,867,117,500.0,reference,0.10649616733129483,0.08719475541829921,0.0034927861785907038
fit_fd_seed0,0,867,117,500.0,p10,0.19721958620763674,0.058599341959419994,0.06326780503834085
fit_fd_seed0,0,867,117,500.0,p90,0.24971932846124534,0.17767082675850987,0.03198165725174162
fit_fd_seed1,1,867,117,50.0,mean,0.22748594460382804,0.10469300831616188,0.10593745106063918
fit_fd_seed1,1,867,117,50.0,sd,0.041959194647407445,0.06755298251637464,-0.018422890095077384
fit_fd_seed1,1,867,117,50.0,skew,0.25159272795352144,0.3680957507747956,-0.06609858217279628
fit_fd_seed1,1,867,117,50.0,tail,0.2670300868278137,0.1451620839280233,0.10713898113800265
fit_fd_seed1,1,867,117,50.0,reference,0.11054900192479386,0.0959413432822554,0.007523329830949821
fit_fd_seed1,1,867,117,50.0,p10,0.19427684451385194,0.06179343001631547,0.11691433832634868
fit_fd_seed1,1,867,117,50.0,p90,0.25981254745389676,0.19605331912691312,0.07003064680989594
fit_primary_A2_seed0,0,867,176,50.0,mean,0.24296487925927715,0.12019475445680501,0.06344081402912917
fit_primary_A2_seed0,0,867,176,50.0,sd,0.1057418432880171,0.10411722816483329,0.0038684037449020383
fit_primary_A2_seed0,0,867,176,50.0,skew,0.006157840483347494,0.013705933217209617,0.0033608279832560766
fit_primary_A2_seed0,0,867,176,50.0,tail,0.32358205978868004,0.1913130951509525,0.06942562623068076
fit_primary_A2_seed0,0,867,176,50.0,reference,0.1242865137670963,0.13621271965001122,0.0036575708799113445
fit_primary_A2_seed0,0,867,176,50.0,p10,0.18485037088336764,0.04060150004895441,0.07884624464721562
fit_primary_A2_seed0,0,867,176,50.0,p90,0.35075823060607714,0.2905169039592903,0.052538290205664605
fit_primary_A2_seed0,0,867,176,50.0,ref_us2016,-0.047676691361545676,0.10926885953993261,-0.013952464200329952
fit_primary_A2_seed0,0,867,176,50.0,ref_mean_norm,2.221957373365406e-05,0.002805663053256498,-0.0011206914572867055
fit_primary_A3_seed0,0,867,336,0.0,mean,0.13047304448210884,0.23050761916379434,0.34400448735389033
fit_primary_A3_seed0,0,867,336,0.0,sd,-0.08069227791760551,0.24881422573801742,0.1566874540088087
fit_primary_A3_seed0,0,867,336,0.0,skew,-0.003955648006229934,0.02497046516763412,-0.01899916034720138
fit_primary_A3_seed0,0,867,336,0.0,tail,0.07948866429483768,0.3855703147329667,0.4748028915323001
fit_primary_A3_seed0,0,867,336,0.0,reference,-0.08389655607298713,0.2690732013340471,0.184327731395226
fit_primary_A3_seed0,0,867,336,0.0,p10,0.1679764044297843,0.08565830421360283,0.21048669401211145
fit_primary_A3_seed0,0,867,336,0.0,p90,0.05120238445234531,0.6267318446078708,0.768692486237162
fit_primary_A3_seed0,0,867,336,0.0,ref_us2016,0.1262390235718216,0.2585304118969494,-0.23540729699869098
fit_primary_A3_seed0,0,867,336,0.0,ref_mean_norm,-0.006008184281229855,0.007329943450067855,0.0010088843143833614
fit_primary_seed0,0,867,117,500.0,mean,0.31615305620490775,0.13154846809162282,0.021032164940602234
fit_primary_seed0,0,867,117,500.0,sd,0.125974851790101,0.1183868581728156,-0.005556679944974341
fit_primary_seed0,0,867,117,500.0,skew,-0.0006414868115420761,0.017569704618357766,9.125225907775312e-06
